Label,Colabs
Adobe Capital,9
ALEB Investments,10
Angel Ventures,11
ASEM,11
BlueBox,12
Catapulta,11
CIC UNAM,5
CIEBT-IPN,23
Comunidad IoTinkerers,9
EPIC LAB,22
Epic Queen,20
Finnovista,11
FONDESO,10
Fortune,10
Global Shapers,9
Homework,9
Ignia,8
InnovaUNAM,22
ITESM,31
Laboratoria,6
MITEF México,4
Mountain Nazca,2
Ronin PR Mexico,17
Santander,1
Santander Universidades,10
SDSN México,4
Seedstars,10
Startup México,33
SVX,23
TechnoPoli,15
UAM,14
UAM Cuajimalpa,4
Universidad La Salle,20
UP,10
UVM,7
WeWork Labs,11
