Label,Colabs
AJE,13
ANDE,21
ANII,19
ANMYPE,11
Antel,15
CEDU,5
CETP-UTU,16
CIE-ORT,22
CISUR,13
CIU,11
CONEXO Cowork,10
Co-Work LatAm,11
CSIC UDELAR,5
CUTI,10
DGT,15
El Abrojo,7
El País,11
Empretec,21
Fundación da Vinci América Latina,23
Fundación Ricaldoni,15
FUNDASOL,11
Impulsa Industria,17
Incubacoop,9
Incubadora Khem- IPTP,11
INGENIO,12
Initium,21
IPMont,10
LATU,18
LATU Latitud,17
OPH,11
PEDECIBA,16
Proyecto Kanban,7
Pyxis,9
Quanam,11
Rabbit,11
RAFE,21
Socialab,10
ThalesLab,11
Transforma Uruguay,10
UCLEH,9
UCU,8
UDE,14
UDEPI UDELAR,12
Unidad Mypes,11
Uruguay XXI,25
UTEC,23
XENIORS,9
Xmartlabs,15
