Source,Target,Type,Id,Label,timeset,Weight,direccionalidad,conector,razón,"# inter",convenio,éxito,¿por qué?,razón fracaso agrupada,"#id completo"
Trebol Capital,AB MKT,Directed,3687,,,3,Alguien más nos conectó,SEDEC,Acceso a red de contactos,1,No,Sí,Se lograron los objetivos.,,AGS1077
Revista Lider Empresarial,AB MKT,Directed,3688,,,2,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,3,No,Sí,Se logró el proyecto,,AGS1125
SEDEC,AB MKT,Directed,3689,,,1,,,Conector,,,,,,AGSC014
The Inventor's House,AEM,Directed,3690,,,5,,,Crecimiento,,,,,,
INADI,ASOCEA,Directed,3691,,,5,,,Establecimiento,,,,,,
TEDxBarriodelaEstación,CANACO AGS,Directed,3692,,,1,Nosotros los buscamos,,Obtención de recursos monetarios o en especie,3,No,No se logró colaborar,Faltó formalizar el convenio,Esquema mal definido,AGS1152
AEM,CANIETI,Directed,3693,,,5,Ellos nos buscaron,,Desarrollo de un proyecto conjunto,5,Sí,Sí,Se han dado en algunas colaboraciones para promover el emprendimiento en Aguascalientes con apoyo de la AEM,,AGS1042
CANIETI,CCEA,Directed,3694,,,5,Nosotros los buscamos,,Obtención de recursos monetarios o en especie,10,Sí,Sí,Conseguimos que con la gestión de CCEA se diera el recurso económico para realizar el foro,,AGS1155
INADI,CCEA,Directed,3695,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,3,Sí,Sí,Se logró el desarrollo y operacion de proyectos por más de 3 años consecutivos,,AGS1184
CIEA,CCEA,Directed,3696,,,5,,,Establecimiento,,,,,,
DESEM,CCEA,Directed,3697,,,5,,,Establecimiento,,,,,,
Maker Center,CECOI,Directed,3698,,,2,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,5,No,No se logró colaborar,no tenian recursos y el interes no fue suficiente,Objetivos/intereses no alineados,AGS1009
The Inventor's House,CECOI,Directed,3699,,,4,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,2,No,Sí,Se logró la vinculación de instituciones,,AGS1010
UNID Ags,CECOI,Directed,3700,,,2,Nosotros los buscamos,,Acceso a red de contactos,1,Sí,Sí,Se tuvieron las vinculaciones empresariales necesarias.,,AGS1013
CANIETI,CECOI,Directed,3701,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,3,No,No,No fue posible la realización del proyecto que estuvimos promoviendo,Falta de resultados esperados,AGS1043
