Source,Target,Type,Id,Label,timeset,Weight,directionality,interactions required,collaboration agreement,budget allocated,hr allocated,result,validation,loop?,response id,bloque
500 Startups,Jaguar Ventures,Directed,1041,,,4,Ellos nos buscaron,1,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B2=A2,""LOOP"",""ok"")",24,5
54 Ventures,Apertura,Directed,1042,,,3,,,,,,,,"IF(B3=A3,""LOOP"",""ok"")",P20,P
54 Ventures,ARCAP,Directed,1043,,,5,,,,,,,,"IF(B4=A4,""LOOP"",""ok"")",P20,C
54 Ventures,ASEA,Directed,1044,,,5,,,,,,,,"IF(B5=A5,""LOOP"",""ok"")",P20,E
54 Ventures,Emprear,Directed,1045,,,3,,,,,,,,"IF(B6=A6,""LOOP"",""ok"")",P20,C
54 Ventures,Emprear,Directed,1046,,,3,,,,,,,,"IF(B7=A7,""LOOP"",""ok"")",P20,H
54 Ventures,Emprear,Directed,1047,,,3,,,,,,,,"IF(B8=A8,""LOOP"",""ok"")",P20,V
54 Ventures,Ministerio de Producción y Trabajo,Directed,1048,,,3,,,,,,,,"IF(B9=A9,""LOOP"",""ok"")",P20,A
54 Ventures,UCEMA,Directed,1049,,,3,,,,,,,,"IF(B10=A10,""LOOP"",""ok"")",P20,G
A3,CEDEX,Directed,1050,,,2,Nosotros los buscamos,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B11=A11,""LOOP"",""ok"")",6,8
A3,Open Future,Directed,1051,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B12=A12,""LOOP"",""ok"")",6,13
A3,AWS,Directed,1052,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B13=A13,""LOOP"",""ok"")",6,14
A3,CAME,Directed,1053,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B14=A14,""LOOP"",""ok"")",6,15
A3,Cámara Argentina de Fintech,Directed,1054,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B15=A15,""LOOP"",""ok"")",6,16
A3,CADIME,Directed,1055,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B16=A16,""LOOP"",""ok"")",6,17
A3,FAN,Directed,1056,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B17=A17,""LOOP"",""ok"")",6,18
A3,Fundación Telefónica Movistar,Directed,1057,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B18=A18,""LOOP"",""ok"")",6,19
A3,Socialab,Directed,1058,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B19=A19,""LOOP"",""ok"")",6,20
A3,Mayma,Directed,1059,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B20=A20,""LOOP"",""ok"")",6,21
A3,Ashoka,Directed,1060,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B21=A21,""LOOP"",""ok"")",6,22
A3,CEDEX,Directed,1061,,,3,Ellos nos buscaron,1,No,0_99,01_03,No se logró colaborar,Analyze,"IF(B22=A22,""LOOP"",""ok"")",22,3
A3,Dirección de Emprendedores GCBA,Directed,1062,,,3,Ellos nos buscaron,3,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B23=A23,""LOOP"",""ok"")",37,10
A3,Google for Startups,Directed,1063,,,5,,,,,,,,"IF(B24=A24,""LOOP"",""ok"")",P24,C
AAICI,Endeavor Argentina,Directed,1064,,,4,Ellos nos buscaron,4,Sí,"1,000_2,999",01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B25=A25,""LOOP"",""ok"")",21,11
Acámica,Huerta Coworking,Directed,1065,,,2,Ellos nos buscaron,3,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B26=A26,""LOOP"",""ok"")",7,1
ADIMRA,CEDEX,Directed,1066,,,2,Ellos nos buscaron,2,No,0_99,01_03,No se logró colaborar,Analyze,"IF(B27=A27,""LOOP"",""ok"")",22,10
Alcaldía de Medellín,Prodem,Directed,1067,,,5,Ellos nos buscaron,3,Sí,"50,000_99,999",04_06,"Sí, la colaboración fue exitosa",Analyze,"IF(B28=A28,""LOOP"",""ok"")",47,6
Ambiente y Desarrollo Sustentable Argentina,Dirección de Emprendedores GCBA,Directed,1068,,,5,Ellos nos buscaron,2,No,"1,000_2,999",01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B29=A29,""LOOP"",""ok"")",29,5
ANDE,Prodem,Directed,1069,,,5,Ellos nos buscaron,6,Sí,"50,000_99,999",04_06,"Sí, la colaboración fue exitosa",Analyze,"IF(B30=A30,""LOOP"",""ok"")",47,4
ARCAP,ASEA,Directed,1070,,,3,,,,,,,,"IF(B31=A31,""LOOP"",""ok"")",P26,V
ARCAP,SEPYME,Directed,1071,,,5,Ellos nos buscaron,3,No,"5,000_9,999",01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B32=A32,""LOOP"",""ok"")",13,3
ARCAP,BID,Directed,1072,,,5,,,,,,,,"IF(B33=A33,""LOOP"",""ok"")",P26,E
ARCAP,CEDEX,Directed,1073,,,3,Ellos nos buscaron,3,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B34=A34,""LOOP"",""ok"")",22,9
ARCAP,Club Trama,Directed,1074,,,3,,,,,,,,"IF(B35=A35,""LOOP"",""ok"")",P26,C
ARCAP,El Cronista,Directed,1075,,,3,,,,,,,,"IF(B36=A36,""LOOP"",""ok"")",P26,P
ARCAP,SEPYME,Directed,1076,,,3,,,,,,,,"IF(B37=A37,""LOOP"",""ok"")",P26,A
ARCAP,Universidad Austral,Directed,1077,,,3,,,,,,,,"IF(B38=A38,""LOOP"",""ok"")",P26,G
Argencon,Parabolt,Directed,1078,,,4,Ellos nos buscaron,2,Sí,100_499,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B39=A39,""LOOP"",""ok"")",32,10
ASEA,A3,Directed,1079,,,5,Ellos nos buscaron,2,Sí,"3,000_4,999",01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B40=A40,""LOOP"",""ok"")",6,2
ASEA,Huerta Coworking,Directed,1080,,,2,Ellos nos buscaron,4,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B41=A41,""LOOP"",""ok"")",7,7
ASEA,ASECH,Directed,1081,,,5,,,,,,,,"IF(B42=A42,""LOOP"",""ok"")",P37,E
ASEA,The Yield Lab,Directed,1082,,,3,Ellos nos buscaron,NA,No,NA,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B43=A43,""LOOP"",""ok"")",9,4
ASEA,SEPYME,Directed,1083,,,3,Ellos nos buscaron,5,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B44=A44,""LOOP"",""ok"")",13,2
ASEA,Endeavor Argentina,Directed,1084,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B45=A45,""LOOP"",""ok"")",26,2
ASEA,ARCAP,Directed,1085,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B46=A46,""LOOP"",""ok"")",26,3
ASEA,Chicas en Tecnología,Directed,1086,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B47=A47,""LOOP"",""ok"")",26,4
ASEA,INICIA,Directed,1087,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B48=A48,""LOOP"",""ok"")",26,6
ASEA,GEMA,Directed,1088,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B49=A49,""LOOP"",""ok"")",26,7
ASEA,Sistema B,Directed,1089,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B50=A50,""LOOP"",""ok"")",26,8
ASEA,IAE,Directed,1090,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B51=A51,""LOOP"",""ok"")",26,9
ASEA,UDESA,Directed,1091,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B52=A52,""LOOP"",""ok"")",26,10
ASEA,UCA,Directed,1092,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B53=A53,""LOOP"",""ok"")",26,11
ASEA,CONICET,Directed,1093,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B54=A54,""LOOP"",""ok"")",26,12
ASEA,ProducciónPBA,Directed,1094,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B55=A55,""LOOP"",""ok"")",26,13
ASEA,NXTP Labs,Directed,1095,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B56=A56,""LOOP"",""ok"")",26,14
ASEA,WISE,Directed,1096,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B57=A57,""LOOP"",""ok"")",26,15
ASEA,ASELA,Directed,1097,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B58=A58,""LOOP"",""ok"")",26,16
ASEA,EMPRETEC,Directed,1098,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B59=A59,""LOOP"",""ok"")",26,17
ASEA,CAME,Directed,1099,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B60=A60,""LOOP"",""ok"")",26,18
ASEA,FEBA,Directed,1100,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B61=A61,""LOOP"",""ok"")",26,19
ASEA,FuckUp Nights,Directed,1101,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B62=A62,""LOOP"",""ok"")",26,20
Ashoka,INICIA,Directed,1102,,,3,Ellos nos buscaron,3,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B63=A63,""LOOP"",""ok"")",16,1
BACE Inversiones,ARCAP,Directed,1103,,,5,,,,,,,,"IF(B64=A64,""LOOP"",""ok"")",P48,C
BACE Inversiones,SEPYME,Directed,1104,,,3,Nosotros los buscamos,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B65=A65,""LOOP"",""ok"")",23,1
BACE Inversiones,Incubando Salud,Directed,1105,,,3,Nosotros los buscamos,3,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B66=A66,""LOOP"",""ok"")",23,5
BACE Inversiones,Endeavor Argentina,Directed,1106,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B67=A67,""LOOP"",""ok"")",23,8
BACE Inversiones,54 Ventures,Directed,1107,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B68=A68,""LOOP"",""ok"")",23,9
BACE Inversiones,WeWork,Directed,1108,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B69=A69,""LOOP"",""ok"")",23,10
BACE Inversiones,BNA,Directed,1109,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B70=A70,""LOOP"",""ok"")",23,11
BACE Inversiones,CNV,Directed,1110,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B71=A71,""LOOP"",""ok"")",23,12
BACE Inversiones,IAE,Directed,1111,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B72=A72,""LOOP"",""ok"")",23,14
BACE Inversiones,Cygnus Angel Club,Directed,1112,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B73=A73,""LOOP"",""ok"")",23,15
BACE Inversiones,Ministerio de Producción y Trabajo,Directed,1113,,,3,Nosotros los buscamos,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B74=A74,""LOOP"",""ok"")",45,1
BACE Inversiones,Embarca,Directed,1114,,,3,Nosotros los buscamos,2,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B75=A75,""LOOP"",""ok"")",45,2
BACE Inversiones,Emprear,Directed,1115,,,3,Nosotros los buscamos,1,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B76=A76,""LOOP"",""ok"")",45,3
BACE Inversiones,ASEA,Directed,1116,,,1,Nosotros los buscamos,3,No,0_99,01_03,No se logró colaborar,Analyze,"IF(B77=A77,""LOOP"",""ok"")",45,4
BACE Inversiones,ARCAP,Directed,1117,,,2,Nosotros los buscamos,2,No,0_99,01_03,No se logró colaborar,Analyze,"IF(B78=A78,""LOOP"",""ok"")",45,5
BACE Inversiones,Club de Inversores Angeles IAE,Directed,1118,,,2,Nosotros los buscamos,3,No,0_99,01_03,No se logró colaborar,Analyze,"IF(B79=A79,""LOOP"",""ok"")",45,6
BACE Inversiones,Incutex,Directed,1119,,,3,Nosotros los buscamos,1,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B80=A80,""LOOP"",""ok"")",45,7
BACE Inversiones,Glocal,Directed,1120,,,2,Nosotros los buscamos,3,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B81=A81,""LOOP"",""ok"")",45,8
BACE Inversiones,Parabolt,Directed,1121,,,2,Nosotros los buscamos,3,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B82=A82,""LOOP"",""ok"")",45,9
BACE Inversiones,Troopa,Directed,1122,,,3,Nosotros los buscamos,6,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B83=A83,""LOOP"",""ok"")",45,10
BACE Inversiones,Emprelatam,Directed,1123,,,2,Nosotros los buscamos,2,No,0_99,01_03,No se logró colaborar,Analyze,"IF(B84=A84,""LOOP"",""ok"")",45,11
BACE Inversiones,Ministerio de Producción y Trabajo,Directed,1124,,,5,,,,,,,,"IF(B85=A85,""LOOP"",""ok"")",P48,E
Bairexport,FADU,Directed,1125,,,1,,,,,,,,"IF(B86=A86,""LOOP"",""ok"")",3,6
Bairexport,UP,Directed,1126,,,1,,,,,,,,"IF(B87=A87,""LOOP"",""ok"")",3,6
BID,Socialab,Directed,1127,,,4,Ellos nos buscaron,NA,Sí,"10,000_49,999",04_06,"Sí, la colaboración fue exitosa",Analyze,"IF(B88=A88,""LOOP"",""ok"")",28,3
CCU,Endeavor Argentina,Directed,1128,,,3,Ellos nos buscaron,3,Sí,"1,000_2,999",01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B89=A89,""LOOP"",""ok"")",21,8
CEDEX,SEPYME,Directed,1129,,,4,Nosotros los buscamos,5,Sí,500_999,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B90=A90,""LOOP"",""ok"")",22,1
CEDEX,IAE,Directed,1130,,,2,Nosotros los buscamos,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B91=A91,""LOOP"",""ok"")",22,5
CEDEX,AAICI,Directed,1131,,,3,Nosotros los buscamos,5,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(B92=A92,""LOOP"",""ok"")",22,6
CEDEX,Proesus,Directed,1132,,,3,Nosotros los buscamos,5,No,0_99,01_03,No se logró colaborar,Analyze,"IF(B93=A93,""LOOP"",""ok"")",22,8
CEDEX,Ministerio de Producción y Trabajo,Directed,1133,,,5,,,,,,,,"IF(B94=A94,""LOOP"",""ok"")",P15,E
CIC,UNLP,Directed,1134,,,5,Ellos nos buscaron,8,No,500_999,04_06,"Sí, la colaboración fue exitosa",Analyze,"IF(B95=A95,""LOOP"",""ok"")",33,10
Ciudad del Saber,Prodem,Directed,1135,,,5,Ellos nos buscaron,6,Sí,"50,000_99,999",04_06,"Sí, la colaboración fue exitosa",Analyze,"IF(B96=A96,""LOOP"",""ok"")",47,5
Club de Reparadores,GCBA Educación,Directed,1136,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B97=A97,""LOOP"",""ok"")",30,1
Club de Reparadores,FabLab Bariloche,Directed,1137,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B98=A98,""LOOP"",""ok"")",30,3
Club de Reparadores,A3,Directed,1138,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B99=A99,""LOOP"",""ok"")",30,4
