Source,Target,Type,Id,Label,timeset,Weight,directionality,interactions required,collaboration agreement,budget allocated,hr allocated,result
ASEM,ITESM,Directed,1100,,,5,Alguien más nos conectó,3,No,NA,01_03,"Sí, la colaboración fue exitosa"
FONDESO,UVM,Directed,1101,,,1,Ellos nos buscaron,1,Sí,0_99,11_20,"No, la colaboración no fue exitosa"
Hult Prize,Universidad La Salle,Directed,1102,,,3,Ellos nos buscaron,3,No,100_499,01_03,"Sí, la colaboración fue exitosa"
Universia,Universidad La Salle,Directed,1103,,,3,Ellos nos buscaron,3,No,500_999,01_03,"Sí, la colaboración fue exitosa"
Global Shapers,Seedstars,Directed,1104,,,4,Ellos nos buscaron,1,No,100_499,01_03,"Sí, la colaboración fue exitosa"
Le Wagon,EPIC LAB,Directed,1105,,,5,Ellos nos buscaron,3,No,"5,000_9,999",01_03,"Sí, la colaboración fue exitosa"
Posible,Universidad La Salle,Directed,1106,,,5,Ellos nos buscaron,3,No,100_499,04_06,"Sí, la colaboración fue exitosa"
ALEB Investments,LAVCA,Directed,1107,,,1,Nosotros los buscamos,5,No,"1,000_2,999",07_10,"No, la colaboración no fue exitosa"
ALEB Investments,UNAM,Directed,1108,,,1,Nosotros los buscamos,10,No,"1,000_2,999",01_03,"No, la colaboración no fue exitosa"
WeWork Labs,Dila Capital,Directed,1109,,,2,Nosotros los buscamos,10,Sí,0_99,01_03,"No, la colaboración no fue exitosa"
ALEB Investments,AEM,Directed,1110,,,3,Nosotros los buscamos,5,No,"3,000_4,999",07_10,"Sí, la colaboración fue exitosa"
ALEB Investments,COPARMEX,Directed,1111,,,3,Nosotros los buscamos,[100],No,"5,000_9,999",01_03,"Sí, la colaboración fue exitosa"
ALEB Investments,U. Anáhuac,Directed,1112,,,3,Nosotros los buscamos,10,No,"3,000_4,999",01_03,"Sí, la colaboración fue exitosa"
BlueBox,Startup Chile,Directed,1113,,,3,Nosotros los buscamos,4,No,NA,01_03,"Sí, la colaboración fue exitosa"
BlueBox,UDD,Directed,1114,,,3,Nosotros los buscamos,2,No,NA,01_03,"Sí, la colaboración fue exitosa"
Epic Queen,Co-Madre,Directed,1115,,,3,Nosotros los buscamos,1,Sí,100_499,01_03,"Sí, la colaboración fue exitosa"
Startup México,COLATAM,Directed,1116,,,3,Nosotros los buscamos,2,Sí,100_499,01_03,"Sí, la colaboración fue exitosa"
Universidad La Salle,COW,Directed,1117,,,3,Nosotros los buscamos,1,No,0_99,01_03,"Sí, la colaboración fue exitosa"
BlueBox,AMEXCAP,Directed,1118,,,4,Nosotros los buscamos,10,No,NA,04_06,"Sí, la colaboración fue exitosa"
BlueBox,Magical Startups,Directed,1119,,,4,Nosotros los buscamos,3,No,NA,01_03,"Sí, la colaboración fue exitosa"
BlueBox,Wayra,Directed,1120,,,4,Nosotros los buscamos,5,No,NA,04_06,"Sí, la colaboración fue exitosa"
Homework,Enlace+,Directed,1121,,,4,Nosotros los buscamos,3,Sí,0_99,01_03,"Sí, la colaboración fue exitosa"
ALEB Investments,AMEXCAP,Directed,1122,,,5,Nosotros los buscamos,20,No,"10,000_49,999",07_10,"Sí, la colaboración fue exitosa"
Comunidad IoTinkerers,ASEM,Directed,1123,,,5,Nosotros los buscamos,1,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Comunidad IoTinkerers,Fablab CDMX,Directed,1124,,,5,Nosotros los buscamos,1,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Comunidad IoTinkerers,Startup Weekend,Directed,1125,,,5,Nosotros los buscamos,1,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Comunidad IoTinkerers,Talent Land,Directed,1126,,,5,Nosotros los buscamos,1,No,0_99,01_03,"Sí, la colaboración fue exitosa"
ASEM,Ronin PR Mexico,Directed,1127,,,1,Ellos nos buscaron,2,No,100_499,01_03,"No, la colaboración no fue exitosa"
Accenture,Finnovista,Directed,1128,,,2,Ellos nos buscaron,2,Sí,NA,01_03,"Sí, la colaboración fue exitosa"
SEDECO CDMX,Startup México,Directed,1129,,,3,Ellos nos buscaron,3,Sí,100_499,01_03,"Sí, la colaboración fue exitosa"
FCCyT,UAM Cuajimalpa,Directed,1130,,,3,Ellos nos buscaron,3,No,0,1,"Sí, la colaboración fue exitosa"
Intel,Fortune,Directed,1131,,,4,Ellos nos buscaron,4,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Revista Investigación y Desarrollo,UAM,Directed,1132,,,4,Ellos nos buscaron,10,No,0,2,"Sí, la colaboración fue exitosa"
Comunicación social CDMX,FONDESO,Directed,1133,,,5,Ellos nos buscaron,3,No,0,3,"Sí, la colaboración fue exitosa"
Nuance,Ronin PR Mexico,Directed,1134,,,5,Ellos nos buscaron,3,Sí,"100,000_999,999",04_06,"Sí, la colaboración fue exitosa"
Wizeline,Ronin PR Mexico,Directed,1135,,,5,Ellos nos buscaron,1,Sí,"100,000_999,999",04_06,"Sí, la colaboración fue exitosa"
Fortune,IBM,Directed,1136,,,2,Nosotros los buscamos,3,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Fortune,Oracle,Directed,1137,,,2,Nosotros los buscamos,3,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Fortune,Mercado Libre,Directed,1138,,,3,Nosotros los buscamos,4,No,"1,000_2,999",04_06,"Sí, la colaboración fue exitosa"
Fortune,Uber,Directed,1139,,,3,Nosotros los buscamos,4,No,"1,000_2,999",01_03,"Sí, la colaboración fue exitosa"
Fortune,YouTube,Directed,1140,,,3,Nosotros los buscamos,2,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Homework,INADEM,Directed,1141,,,3,Nosotros los buscamos,2,No,500_999,04_06,"Sí, la colaboración fue exitosa"
Seedstars,AWS,Directed,1142,,,3,Nosotros los buscamos,6,No,0_99,01_03,"Sí, la colaboración fue exitosa"
FONDESO,Canal 21,Directed,1143,,,4,Nosotros los buscamos,3,No,0,3,"Sí, la colaboración fue exitosa"
FONDESO,El Economista,Directed,1144,,,4,Nosotros los buscamos,3,No,0,3,"Sí, la colaboración fue exitosa"
Fortune,Adobe Capital,Directed,1145,,,4,Nosotros los buscamos,3,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Fortune,Amazon,Directed,1146,,,4,Nosotros los buscamos,3,No,"1,000_2,999",04_06,"Sí, la colaboración fue exitosa"
Homework,Disruptivo TV,Directed,1147,,,4,Nosotros los buscamos,2,No,0_99,01_03,"Sí, la colaboración fue exitosa"
Ronin PR Mexico,El Economista,Directed,1148,,,4,Nosotros los buscamos,1,No,"10,000_49,999",07_10,"Sí, la colaboración fue exitosa"
Ronin PR Mexico,El Financiero,Directed,1149,,,4,Nosotros los buscamos,1,No,"10,000_49,999",07_10,"Sí, la colaboración fue exitosa"
Laboratoria,Victoria147,Directed,1150,,,1,Alguien más nos conectó,1,No,0_99,01_03,"Sí, la colaboración fue exitosa"
SDSN México,Makesense,Directed,1151,,,3,Alguien más nos conectó,2,No,300,1,"Sí, la colaboración fue exitosa"
ASEM,FLDM,Directed,1152,,,4,Alguien más nos conectó,5,Sí,NA,01_03,"Sí, la colaboración fue exitosa"
MITEF México,IODEMC,Directed,1153,,,4,Alguien más nos conectó,3,Sí,NA,NA,"Sí, la colaboración fue exitosa"
TechnoPoli,Gob Qro,Directed,1154,,,5,Alguien más nos conectó,10,Sí,"100,000_999,999",51_100,"Sí, la colaboración fue exitosa"
TechnoPoli,Gob Tam,Directed,1155,,,5,Alguien más nos conectó,10,Sí,"100,000_999,999",51_100,"Sí, la colaboración fue exitosa"
