Source,Target,Type,Id,Label,timeset,Weight,direccionalidad,conector,razón,"# inter",convenio,éxito,¿por qué?,razón fracaso agrupada,"#id completo"
inMateriis,Actum BSS,Directed,474,,,5,Nosotros los buscamos,,Obtención de recursos monetarios,2,Sí,Sí,"La OTT logró darnos la mentoría, acompañamiento, y servicio para poder acceder a fondos de gobierno, otros actores del ecosistema como otras empresas, emprendedores, centros de investigación y siempre nos mantienen al tanto de todas las oportunidades disponibles para fortalecer nuestra operación.",,GDL1136
CIATEJ,AMC,Directed,475,,,1,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,4,No,No,La Academia está enfocada en reconocer el conocimiento más que en buscar obtener un conocimiento,Objetivos/intereses no alineados,GDL1276
CIE ITESM GDA,AMCHAM,Directed,476,,,1,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,4,No,Sí,Tuvimos una entrevista con el director y nos ayudó a entender cómo están apoyando a las PYMES para interactuar con empresas Estado Unidenses.,,GDL1277
Enlace E+E GDA,AMEXCAP,Directed,477,,,4,Alguien más nos conectó,Un empresario,Obtención de recursos monetarios,4,No,Sí,Se esta armando un proyecto de desarrollo para el ecosistema,,GDL1278
Global Proteus,AMEXCAP,Directed,478,,,2,Alguien más nos conectó,INADEM,Acceso a red de contactos,4,No,No se logró colaborar,"Se trató de generar una colaboración para atraer inversionistas, pero nunca se dió.",Falta de seguimiento,GDL1279
INADEM,AMEXCAP,Directed,479,,,1,,,Conector,,,,,,
Global Proteus,ARG Consultores,Directed,480,,,4,Alguien más nos conectó,Global Shapers,Intercambio de conocimiento y mejores prácticas,5,No,Sí,Se logró hacer sinergia en prestación de servicios mutuos.,,GDL1137
Global Shapers,ARG Consultores,Directed,481,,,1,,,Conector,,,,,,
ASELA,ASEM,Directed,482,,,1,,,Conector,,,,,,
Global Proteus,ASEM,Directed,483,,,5,Alguien más nos conectó,ASELA,Desarrollo de un proyecto conjunto,6,Sí,Sí,"Creamos la ASEM Jalisco, y tenemos eventos y vinculación seguida en la colaboración.",,GDL1280
Numbelt,ASEM,Directed,484,,,3,Nosotros los buscamos,,Acceso a red de contactos,3,No,Sí,Hemos valuado varias compañías socias de ASEM.,,GDL1281
CIE ITESM GDA,AVM,Directed,485,,,1,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,2,No,Sí,Se logró llevar a cabo una entrevista donde se comprendieron mejor los mecanismos que tienen para apoyar a los emprendedores económicamente.,,GDL1138
PNP,AVM,Directed,486,,,5,Nosotros los buscamos,,Acceso a red de contactos,1,No,Sí,"Co inversiones, co organización de eventos, asistencia a eventos e intercambio de conocimientos, colaboración en Due Dilingence.",,GDL1139
Skytechture,AVM,Directed,487,,,2,Nosotros los buscamos,,Acceso a red de contactos,2,No,Sí,hemos conocido a muchos emprendedores que buscan dar el siguente paso y podemos paoyar a escalar o emprender con tecnologías tanto de generadores de conocimiento en Mexico como de Holanda en energía renovable,,GDL1140
Reto Zapopan,Baker McKenzie,Directed,488,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,3,Sí,Sí,Alianzas para el apoyo a emprendedores desde el punto de vista legal,,GDL1141
CIE ITESM GDA,Balero,Directed,489,,,2,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,2,No,Sí,Porque se llevó a cabo una entrevista con el director de Balero en Guadalajara,,GDL1142
Pragmatec,Balero,Directed,490,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,3,Sí,Sí,Se ha participado en diversos eventos para promover sus tecnologías y proyectos,,GDL1143
Talent Network,Blockchain MX,Directed,491,,,3,Nosotros los buscamos,,Intercambio de conocimiento y mejores prácticas,4,Sí,Sí,tenemos objetivos en común,,GDL1065
Numbelt,BlueBox,Directed,492,,,4,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,5,No,Sí,Se están empezando a valuar las primeras compañías para cerrar el convenio.,,GDL1144
ITESM GDA,BNI Jalisco,Directed,493,,,1,,,Conector,,,,,,
Radio Fórmula,BNI Jalisco,Directed,494,,,5,Ellos nos buscaron,,Cobertura mediática,2,No,Sí,Miembros de nuestra organización son entrevistados constantemente en sus programas,,GDL1267
SICYT,Bosch,Directed,495,,,3,Ellos nos buscaron,,Intercambio de conocimiento y mejores prácticas,0,No,Sí,Gracias al apoyo de la SICyT Robert Bosch México decidió abrir su centro de innovación de alto impacto (Connectory) en Guadalajara,,GDL1047
Talent Network,Bosch,Directed,496,,,5,Nosotros los buscamos,,Desarrollo de un proyecto conjunto,7,Sí,Sí,Se exploro el uso de su tecnología en proyectos,,GDL1100
