Source,Target,Type,Id,Label,timeset,Weight,directionality,"# inter",formal agreement,success
AMMJE,ProMéxico,Directed,0,,,5,Ellos nos buscaron,1,No,Sí
Calpulli,UPMH,Directed,1,,,5,Ellos nos buscaron,1,Sí,Sí
BNI,PROCAHU,Directed,2,,,4,Ellos nos buscaron,3,Sí,Sí
CANACINTRA Pachuca,PROCAHU,Directed,3,,,1,,,,
CANACINTRA Pachuca,UPP (AI),Directed,4,,,1,Ellos nos buscaron,,,
CANACINTRA Pachuca,UTEC TGO,Directed,5,,,1,,,,
CCEH,CANACO Pachuca,Directed,6,,,4,Nosotros los buscamos,2,No,Sí
CCEH,El Sol de Hidalgo,Directed,7,,,4,Nosotros los buscamos,1,No,Sí
CCEH,IHCE,Directed,8,,,5,Nosotros los buscamos,8,No,Sí
CCEH,IHCE,Directed,9,,,5,Ellos nos buscaron,7,Sí,Sí
CCEH,IHCE,Directed,10,,,5,,,,
CCEH,Periódico Criterio,Directed,11,,,4,Nosotros los buscamos,1,No,Sí
CCEH,SEDECO HGO,Directed,12,,,5,,,,
CCEH,SEPH,Directed,13,,,1,Nosotros los buscamos,10,Sí,No
CCEH,UPIIH,Directed,14,,,1,Nosotros los buscamos,10,Sí,No
CECyTE HGO,CCEH,Directed,15,,,5,Nosotros los buscamos,4,Sí,Sí
CECyTE HGO,CCEH,Directed,16,,,5,,,,
CECyTE HGO,CITNOVA,Directed,17,,,5,,,,
CECyTE HGO,Dpto. Vinculación CECyTE HGO,Directed,18,,,5,,,,
CECyTE HGO,IHCE,Directed,19,,,5,,,,
CECyTE HGO,MIT EF México,Directed,20,,,5,Nosotros los buscamos,1,No,Sí
CECyTE HGO,Nivea YBT,Directed,21,,,5,Nosotros los buscamos,2,Sí,Sí
CECyTE HGO,Radio y Televisión HGO,Directed,22,,,4,Nosotros los buscamos,2,No,Sí
CECyTE HGO,Revista Mentes QUO,Directed,23,,,5,Nosotros los buscamos,2,No,Sí
CECyTE HGO,UAEH (AI),Directed,24,,,5,Nosotros los buscamos,3,No,Sí
CECyTE HGO,UPP,Directed,25,,,4,Nosotros los buscamos,2,Sí,Sí
CECyTE HGO,UTEC TGO,Directed,26,,,5,Nosotros los buscamos,3,Sí,Sí
CGUTYP,UPP,Directed,27,,,5,Ellos nos buscaron,10,No,Sí
CICAINTE,CITNOVA,Directed,28,,,1,Nosotros los buscamos,,,
CICAINTE,CONACYT,Directed,29,,,1,Nosotros los buscamos,,,
CICAINTE,FPNT,Directed,30,,,1,Nosotros los buscamos,,,
CICAINTE,Grupo Educare,Directed,31,,,1,Nosotros los buscamos,,,
CICAINTE,INADEM,Directed,32,,,1,Nosotros los buscamos,,,
CICAINTE,Startup HGO,Directed,33,,,1,Nosotros los buscamos,,,
