Source,Target,Type,Id,Label,timeset,Weight,directionality,interactions required,collaboration agreement,budget allocated,hr allocated,result,validation,loop?,response id,bloque
Spanish Startups,Madri+d,Directed,1812,,,1,Nosotros los buscamos,2,No,0,1,"Sí, la colaboración fue exitosa",Analyze,ok,T13,1
FUAM,Ayto. Madrid,Directed,1813,,,1,Nosotros los buscamos,3,No,NA,NA,No se logró colaborar,Analyze,ok,T22,4
CIEMAT,Fundación Gadea para la Ciencia,Directed,1814,,,1,Nosotros los buscamos,5,No,0,1,"No, la colaboración no fue exitosa",Analyze,ok,T25,10
Transfiere,CIEMAT,Directed,1815,,,2,Ellos nos buscaron,5,Sí,10000,4,"No, la colaboración no fue exitosa",Analyze,ok,T25,18
Imaguru,South Summit,Directed,1816,,,2,Nosotros los buscamos,1,No,780,1,"Sí, la colaboración fue exitosa",Analyze,ok,T08,9
Transfiere,FEDIT,Directed,1817,,,3,Ellos nos buscaron,5,No,"1,000_2,999",01_03,"Sí, la colaboración fue exitosa",Analyze,ok,9,6
Amcham Spain,Endeavor,Directed,1818,,,3,Ellos nos buscaron,3,No,5000,1,"Sí, la colaboración fue exitosa",Analyze,ok,T02,10
Santander,FUAM,Directed,1819,,,3,Ellos nos buscaron,6,Sí,100000,2,"Sí, la colaboración fue exitosa",Analyze,ok,T22,2
UCJC,Madri+d,Directed,1820,,,3,Nosotros los buscamos,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,6,5
UCJC,Startup Europe Week,Directed,1821,,,3,Nosotros los buscamos,1,No,1000,4,"Sí, la colaboración fue exitosa",Analyze,ok,T09,9
UCJC,South Summit,Directed,1822,,,3,Nosotros los buscamos,1,No,1000,2,"Sí, la colaboración fue exitosa",Analyze,ok,T09,10
FPCM,AMETIC,Directed,1823,,,3,Nosotros los buscamos,15,Sí,NA,NA,"Sí, la colaboración fue exitosa",Analyze,ok,T10,12
Startupxplore,Google Campus Madrid,Directed,1824,,,3,Nosotros los buscamos,2,No,5000,1,"Sí, la colaboración fue exitosa",Analyze,ok,T21,1
ASEBIO,FPCM,Directed,1825,,,4,Ellos nos buscaron,12,Sí,NA,NA,"Sí, la colaboración fue exitosa",Analyze,ok,T10,11
