Source,Target,Type,Id,Label,timeset,Weight,directionality: collaboration 1,sought-after value: collaboration 1,interactions required: collaboration 1,formal agreement: collaboration 1,budget allocated: collaboration 1,human resources allocated: collaboration 1,success: collaboration 1,validation,loop?,response id,bloque
Rabbit,Uruguay XXI,Directed,0,,,1,Direct,Money,2,No,300,2,Yes,Analyze,ok,13,7
Rabbit,CUTI,Directed,1,,,1,Direct,Network,2,Yes,300,2,No,Analyze,ok,13,9
PEDECIBA,BVM,Directed,2,,,1,Direct,Money,3,Yes,50,2,Unachieved,Analyze,ok,18,18
Incubacoop,ANII,Directed,3,,,1,Direct,Knowledge,3,No,50,2,Unachieved,Analyze,ok,20,5
ThalesLab,UM,Directed,4,,,1,Direct,Project development,3,No,50,2,No,Analyze,ok,27,8
XENIORS,CIE-ORT,Directed,5,,,1,Direct,Knowledge,2,No,50,2,Yes,Analyze,ok,36,8
Quanam,CUTI,Directed,6,,,1,Direct,Network,1,Yes,4000,2,Yes,Analyze,ok,37,9
Quanam,ANDE,Directed,7,,,1,Direct,Money,5,No,2000,2,Unachieved,Analyze,ok,37,10
CUTI,CCUU,Directed,8,,,1,Direct,Network,3,Yes,50,2,Yes,Analyze,ok,38,8
AJE,El País,Directed,9,,,1,Direct,Exposure,8,No,50,5,No,Analyze,ok,39,6
Co-Work LatAm,Espacio Serratosa,Directed,10,,,1,Direct,Project development,5,No,50,2,No,Analyze,ok,42,7
Co-Work LatAm,CIU,Directed,11,,,1,Direct,Network,3,No,50,2,Unachieved,Analyze,ok,42,8
IPMont,BID,Directed,12,,,1,Direct,Money,20,No,50,2,Unachieved,Analyze,ok,45,3
Transforma Uruguay,MGAP,Directed,13,,,1,Direct,Project development,4,Yes,50,2,Unachieved,Analyze,ok,50,8
Xmartlabs,Fundación Ricaldoni,Directed,14,,,1,Direct,Money,2,No,750,2,No,Analyze,ok,52,8
Fundación da Vinci América Latina,CUTI,Directed,15,,,1,Direct,Network,20,No,NA,2,Unachieved,Analyze,ok,N03,4
Proyecto Kanban,Unidad Mypes,Directed,16,,,1,Direct,Exposure,1,No,NA,2,Unachieved,Analyze,ok,N08,6
Proyecto Kanban,Comunidad Odoo,Directed,17,,,1,Direct,Knowledge,1,No,NA,2,No,Analyze,ok,N08,8
Campus Party,Rabbit,Directed,18,,,1,Inverse,Knowledge,2,No,50,2,Yes,Analyze,ok,13,10
UCU,INGENIO,Directed,19,,,1,Inverse,Knowledge,3,No,50,2,Unachieved,Analyze,ok,30,7
CUTI,INGENIO,Directed,20,,,1,Inverse,Knowledge,3,No,50,2,Unachieved,Analyze,ok,30,10
SNCYT,OPH,Directed,21,,,1,Inverse,Network,1,No,50,2,Unachieved,Analyze,ok,41,9
GlobalizeU,Co-Work LatAm,Directed,22,,,1,Inverse,Network,1,No,50,2,Yes,Analyze,ok,42,6
IPTP,Fundación da Vinci América Latina,Directed,23,,,1,Inverse,Knowledge,5,No,50,2,No,Analyze,ok,N03,5
LATU Latitud,ANDE,Directed,24,,,1,Third party,Money,3,No,75000,2,No,Analyze,ok,16,2
LATU Latitud,INGENIO,Directed,25,,,1,Third party,Knowledge,1,No,50,2,Yes,Analyze,ok,16,9
Quanam,Facultad Ingeniería UDELAR,Directed,26,,,1,Third party,Project development,10,Yes,7500,2,Yes,Analyze,ok,37,4
Quanam,Universidad ORT Uruguay,Directed,27,,,1,Third party,Knowledge,2,No,2000,2,Yes,Analyze,ok,37,5
Quanam,INIA,Directed,28,,,1,Third party,Project development,5,Yes,4000,2,Yes,Analyze,ok,37,6
Quanam,UCU,Directed,29,,,1,Third party,Project development,1,No,2000,2,Yes,Analyze,ok,37,7
OPH,CTPLAS,Directed,30,,,1,Third party,Knowledge,2,No,50,2,Unachieved,Analyze,ok,41,11
ANMYPE,Confederación Empresarial,Directed,31,,,1,Third party,Project development,5,Yes,300,5,Unachieved,Analyze,ok,43,10
Proyecto Kanban,Comunidad Wordpress,Directed,32,,,1,Third party,Knowledge,1,No,NA,2,Unachieved,Analyze,ok,N08,4
UTEC,Santander Universidades,Directed,33,,,2,Direct,Project development,6,Yes,30000,2,Yes,Analyze,ok,14,11
LATU Latitud,SNCYT,Directed,34,,,2,Direct,Knowledge,1,No,4000,5,Yes,Analyze,ok,16,6
LATU Latitud,Uruguay XXI,Directed,35,,,2,Direct,Network,1,Yes,4000,2,Yes,Analyze,ok,16,8
PEDECIBA,Incubadora Khem- IPTP,Directed,36,,,2,Direct,Knowledge,1,No,50,2,Yes,Analyze,ok,18,4
PEDECIBA,UEU,Directed,37,,,2,Direct,Project development,1,Yes,50,2,Yes,Analyze,ok,18,7
PEDECIBA,IPMont,Directed,38,,,2,Direct,Knowledge,1,No,50,2,Yes,Analyze,ok,18,9
PEDECIBA,IIBCE,Directed,39,,,2,Direct,Knowledge,1,No,50,2,Yes,Analyze,ok,18,10
PEDECIBA,INIA,Directed,40,,,2,Direct,Knowledge,1,No,50,2,Yes,Analyze,ok,18,11
PEDECIBA,CUDIM,Directed,41,,,2,Direct,Project development,1,No,50,2,Yes,Analyze,ok,18,14
PEDECIBA,LATU Latitud,Directed,42,,,2,Direct,Project development,1,No,50,2,Yes,Analyze,ok,18,15
Socialab,UDELAR,Directed,43,,,2,Direct,Network,10,No,2000,5,Yes,Analyze,ok,22,7
Socialab,CIE-ORT,Directed,44,,,2,Direct,Knowledge,2,No,4000,2,Yes,Analyze,ok,22,8
ThalesLab,Socialab,Directed,45,,,2,Direct,Knowledge,2,No,50,2,Yes,Analyze,ok,27,6
UCLEH,CTC,Directed,46,,,2,Direct,Project development,2,No,50,2,Yes,Analyze,ok,28,9
CISUR,Transforma Uruguay,Directed,47,,,2,Direct,Knowledge,5,No,50,2,Yes,Analyze,ok,29,12
CISUR,Centro de Extensionismo Industrial,Directed,48,,,2,Direct,Network,5,No,50,2,Yes,Analyze,ok,29,13
INGENIO,UTEC,Directed,49,,,2,Direct,Knowledge,3,Yes,50,2,Yes,Analyze,ok,30,6
INGENIO,Endeavor,Directed,50,,,2,Direct,Knowledge,3,Yes,50,2,Yes,Analyze,ok,30,9
Empretec,Uruguay XXI,Directed,51,,,2,Direct,Money,5,Yes,50,5,Yes,Analyze,ok,32,4
Empretec,YouHub,Directed,52,,,2,Direct,Project development,2,No,2000,2,Yes,Analyze,ok,32,8
XENIORS,ANII,Directed,53,,,2,Direct,Exposure,4,No,50,2,Yes,Analyze,ok,36,2
XENIORS,Piso 40,Directed,54,,,2,Direct,Money,3,No,50,2,Yes,Analyze,ok,36,4
XENIORS,INEFOP,Directed,55,,,2,Direct,Project development,4,Yes,750,5,Yes,Analyze,ok,36,10
Quanam,Enperspectiva,Directed,56,,,2,Direct,Exposure,5,No,2000,2,Yes,Analyze,ok,37,8
AJE,RAFE,Directed,57,,,2,Direct,Network,5,No,2000,2,Yes,Analyze,ok,39,2
AJE,El Observador,Directed,58,,,2,Direct,Exposure,3,No,750,2,No,Analyze,ok,39,5
OPH,MIEM-DNPI,Directed,59,,,2,Direct,Other,2,No,50,2,Yes,Analyze,ok,41,7
Transforma Uruguay,LATU,Directed,60,,,2,Direct,Project development,1,Yes,50,2,Yes,Analyze,ok,50,5
Xmartlabs,ANII,Directed,61,,,2,Direct,Money,5,No,750,2,No,Analyze,ok,52,5
Xmartlabs,Endeavor,Directed,62,,,2,Direct,Exposure,3,No,2000,2,Yes,Analyze,ok,52,6
CIU,ANII,Directed,63,,,2,Direct,Money,2,Yes,2000,2,Yes,Analyze,ok,53,6
El Abrojo,FCPU,Directed,64,,,2,Direct,Network,2,No,50,2,Unachieved,Analyze,ok,55,8
CONEXO Cowork,ANDE,Directed,65,,,2,Direct,Network,3,No,50,2,Unachieved,Analyze,ok,62,3
Fundación da Vinci América Latina,Cikato,Directed,66,,,2,Direct,In-kind resources,20,Yes,750,5,Yes,Analyze,ok,N03,11
El Observador,Rabbit,Directed,67,,,2,Inverse,Exposure,1,No,300,2,Yes,Analyze,ok,13,4
BID,Rabbit,Directed,68,,,2,Inverse,Knowledge,2,No,300,2,Yes,Analyze,ok,13,11
CIU,UTEC,Directed,69,,,2,Inverse,Project development,5,Yes,4000,2,Yes,Analyze,ok,14,5
Sistema B,UTEC,Directed,70,,,2,Inverse,Knowledge,6,No,750,2,Yes,Analyze,ok,14,10
Transforma Uruguay,LATU Latitud,Directed,71,,,2,Inverse,Knowledge,1,No,30000,5,Yes,Analyze,ok,16,5
Initium,Socialab,Directed,72,,,2,Inverse,Knowledge,5,No,4000,5,Yes,Analyze,ok,22,9
Centro IthaKa,Socialab,Directed,73,,,2,Inverse,Knowledge,3,No,50,2,Yes,Analyze,ok,22,10
Facultad Ingeniería UDELAR,DGT,Directed,74,,,2,Inverse,Knowledge,1,No,50,2,Yes,Analyze,ok,23,3
ANDE,DGT,Directed,75,,,2,Inverse,Other,1,No,50,2,Yes,Analyze,ok,23,5
Centro IthaKa,ThalesLab,Directed,76,,,2,Inverse,Project development,4,Yes,50,2,Yes,Analyze,ok,27,5
CIE-ORT,INGENIO,Directed,77,,,2,Inverse,Knowledge,3,No,50,2,Yes,Analyze,ok,30,5
Desarrollo Sostenible e Inteligente,INGENIO,Directed,78,,,2,Inverse,Knowledge,5,No,50,2,Yes,Analyze,ok,30,11
Centro de Competitividad de Rivera,Empretec,Directed,79,,,2,Inverse,In-kind resources,3,Yes,50,2,Yes,Analyze,ok,32,6
Centro de Competitividad de Tacuarembó,Empretec,Directed,80,,,2,Inverse,In-kind resources,3,Yes,50,2,Yes,Analyze,ok,32,7
CETP-UTU,XENIORS,Directed,81,,,2,Inverse,Project development,4,Yes,750,2,Yes,Analyze,ok,36,6
ANII,Quanam,Directed,82,,,2,Inverse,Knowledge,1,No,30000,25,Yes,Analyze,ok,37,1
ICT4V,Quanam,Directed,83,,,2,Inverse,Project development,10,Yes,75000,8,Yes,Analyze,ok,37,2
LATU,CUTI,Directed,84,,,2,Inverse,Project development,8,No,50,2,Unachieved,Analyze,ok,38,11
CIU,AJE,Directed,85,,,2,Inverse,Project development,5,No,2000,2,Yes,Analyze,ok,39,4
ANDE,Co-Work LatAm,Directed,86,,,2,Inverse,Network,2,No,50,2,Yes,Analyze,ok,42,3
RAFE,Co-Work LatAm,Directed,87,,,2,Inverse,Knowledge,2,No,50,2,Yes,Analyze,ok,42,5
Meetup Agile,Co-Work LatAm,Directed,88,,,2,Inverse,In-kind resources,1,No,50,2,Yes,Analyze,ok,42,10
Meetup Sales Force,Co-Work LatAm,Directed,89,,,2,Inverse,In-kind resources,2,No,50,2,Yes,Analyze,ok,42,11
IPRU,ANMYPE,Directed,90,,,2,Inverse,Project development,5,Yes,300,2,Yes,Analyze,ok,43,5
GRIDX,IPMont,Directed,91,,,2,Inverse,Other,10,No,50,8,Yes,Analyze,ok,45,10
ACDE,El País,Directed,92,,,2,Inverse,Exposure,2,No,7500,2,Yes,Analyze,ok,51,11
IDTT,CIU,Directed,93,,,2,Inverse,Knowledge,3,No,50,2,Yes,Analyze,ok,53,4
DGT,ADEF,Directed,94,,,2,Third party,Network,1,No,50,2,Yes,Analyze,ok,23,6
ThalesLab,Endeavor,Directed,95,,,2,Third party,Knowledge,3,No,50,2,Yes,Analyze,ok,27,9
Co-Work LatAm,Incubadora Khem- IPTP,Directed,96,,,2,Third party,In-kind resources,1,No,50,2,Unachieved,Analyze,ok,42,9
Rabbit,CIU,Directed,97,,,3,Direct,Project development,4,No,300,2,Yes,Analyze,ok,13,5
Rabbit,MIEM,Directed,98,,,3,Direct,Money,2,No,300,2,Yes,Analyze,ok,13,8
UTEC,Socialab,Directed,99,,,3,Direct,Project development,2,No,4000,2,Yes,Analyze,ok,14,8
Initium,ANII,Directed,100,,,3,Direct,Money,1,Yes,50,2,Yes,Analyze,ok,15,2
LATU Latitud,CIU,Directed,101,,,3,Direct,Network,1,No,7500,5,Yes,Analyze,ok,16,4
LATU Latitud,UEU,Directed,102,,,3,Direct,Network,1,Yes,7500,2,Yes,Analyze,ok,16,7
PEDECIBA,GRIDX,Directed,103,,,3,Direct,Money,1,No,50,2,Yes,Analyze,ok,18,5
PEDECIBA,CIU,Directed,104,,,3,Direct,Project development,1,Yes,50,2,Yes,Analyze,ok,18,6
PEDECIBA,UDELAR,Directed,105,,,3,Direct,Knowledge,1,No,50,2,Yes,Analyze,ok,18,8
PEDECIBA,Universidad ORT Uruguay,Directed,106,,,3,Direct,Project development,1,No,50,2,Yes,Analyze,ok,18,12
