Source,Target,Type,Id,Label,timeset,Weight,directionality,interactions required,collaboration agreement,budget allocated,hr allocated,result,validation,loop?,response id,bloque
Acción Emprendedora,Universidad Mayor,Directed,0,,,4,Ellos nos buscaron,1,No,500_999,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(A2=B2,""LOOP"",""ok"")",4,5
Acerca Redes,CoLab UC,Directed,1,,,4,Ellos nos buscaron,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,"IF(A3=B3,""LOOP"",""ok"")",12,8
ACVC,3IE UTFSM,Directed,2,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B4=A4,""LOOP"",""ok"")",26,13
ACVC,Acafi,Directed,3,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B5=A5,""LOOP"",""ok"")",14,8
ACVC,Hub APTA,Directed,4,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B6=A6,""LOOP"",""ok"")",26,9
ACVC,Asociación de Empresas Familiares,Directed,5,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B7=A7,""LOOP"",""ok"")",26,14
ACVC,BID,Directed,6,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B8=A8,""LOOP"",""ok"")",14,20
ACVC,CMF,Directed,7,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B9=A9,""LOOP"",""ok"")",14,21
ACVC,CORFO,Directed,8,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B10=A10,""LOOP"",""ok"")",26,1
ACVC,Endeavor,Directed,9,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B11=A11,""LOOP"",""ok"")",26,7
ACVC,Founder List,Directed,10,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B12=A12,""LOOP"",""ok"")",26,17
ACVC,Hubtec,Directed,11,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B13=A13,""LOOP"",""ok"")",26,8
ACVC,Incuba UC,Directed,12,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B14=A14,""LOOP"",""ok"")",26,16
ACVC,INCUBATEC UFRO,Directed,13,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B15=A15,""LOOP"",""ok"")",26,11
ACVC,Invest Chile,Directed,14,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B16=A16,""LOOP"",""ok"")",26,3
ACVC,Know Hub Chile,Directed,15,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B17=A17,""LOOP"",""ok"")",26,10
ACVC,"Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",Directed,16,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B18=A18,""LOOP"",""ok"")",26,4
ACVC,"Ministerio de Economía, Fomento y Turismo",Directed,17,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B19=A19,""LOOP"",""ok"")",26,5
ACVC,Prochile,Directed,18,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B20=A20,""LOOP"",""ok"")",26,2
ACVC,Sofofa,Directed,19,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B21=A21,""LOOP"",""ok"")",26,15
ACVC,Start-Up Chile,Directed,20,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B22=A22,""LOOP"",""ok"")",14,16
ACVC,UDD Ventures,Directed,21,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B23=A23,""LOOP"",""ok"")",26,12
ACVC,Universidad Adolfo Ibañez,Directed,22,,,3,NA,NA,NA,NA,NA,NA,No data,"IF(B24=A24,""LOOP"",""ok"")",14,10
