Source,Target,Type,Id,Label,timeset,Weight,directionality,interactions required,collaboration agreement,budget allocated,hr allocated,result,validation,loop?,response id,bloque
Ashoka,WTT,Directed,1112,,,2,Ellos nos buscaron,1,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,5,8
WTT,Eisenhower Fellowships,Directed,1113,,,4,Nosotros los buscamos,3,Sí,"10,000_49,999",01_03,"Sí, la colaboración fue exitosa",Analyze,ok,5,10
WTT,MIT D-Lab,Directed,1114,,,4,Nosotros los buscamos,2,Sí,"5,000_9,999",01_03,"Sí, la colaboración fue exitosa",Analyze,ok,5,9
WTT,Fundación Avina,Directed,1115,,,5,Nosotros los buscamos,1,Sí,"1,000,000_",04_06,"Sí, la colaboración fue exitosa",Analyze,ok,5,1
WTT,iCS,Directed,1116,,,5,Nosotros los buscamos,4,Sí,"100,000_999,999",01_03,"Sí, la colaboración fue exitosa",Analyze,ok,5,11
WTT,BRAERG,Directed,1117,,,3,NA,NA,NA,NA,NA,NA,No data,ok,5,17
WTT,CUP Sciences,Directed,1118,,,3,NA,NA,NA,NA,NA,NA,No data,ok,5,16
WTT,Fraunhofer Institute,Directed,1119,,,3,NA,NA,NA,NA,NA,NA,No data,ok,5,12
WTT,Instituto Arapyau,Directed,1120,,,3,NA,NA,NA,NA,NA,NA,No data,ok,5,13
WTT,PERA Complexity,Directed,1121,,,3,NA,NA,NA,NA,NA,NA,No data,ok,5,15
WeWork Labs,ABstartups,Directed,1122,,,3,Nosotros los buscamos,1,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,7,2
WeWork Labs,Canary,Directed,1123,,,3,Nosotros los buscamos,1,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,7,3
WeWork Labs,Grão Investimentos,Directed,1124,,,4,Alguien más nos conectó,1,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,7,4
Inovabra,WeWork Labs,Directed,1125,,,5,Ellos nos buscaron,20,Sí,"1,000,000_",04_06,"Sí, la colaboración fue exitosa",Analyze,ok,7,10
Samsung,WeWork Labs,Directed,1126,,,5,Ellos nos buscaron,5,Sí,0_99,04_06,"Sí, la colaboración fue exitosa",Analyze,ok,7,6
WeWork Labs,BNDES,Directed,1127,,,3,Nosotros los buscamos,10,Sí,100_499,04_06,"Sí, la colaboración fue exitosa",Analyze,ok,7,9
WeWork Labs,Estação Hack,Directed,1128,,,3,Nosotros los buscamos,10,No,0_99,04_06,"Sí, la colaboración fue exitosa",Analyze,ok,7,11
Sebrae SP,WeWork Labs,Directed,1129,,,3,Ellos nos buscaron,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,7,5
WeWork,WeWork Labs,Directed,1130,,,3,Ellos nos buscaron,2,Sí,0_99,04_06,"Sí, la colaboración fue exitosa",Analyze,ok,7,1
WeWork Labs,Astella Investimentos,Directed,1131,,,3,NA,NA,NA,NA,NA,NA,No data,ok,7,12
WeWork Labs,BNZ,Directed,1132,,,3,NA,NA,NA,NA,NA,NA,No data,ok,7,13
WeWork Labs,Orgânica Aceleradora,Directed,1133,,,3,NA,NA,NA,NA,NA,NA,No data,ok,7,17
WeWork Labs,The Next Company,Directed,1134,,,3,NA,NA,NA,NA,NA,NA,No data,ok,7,16
Agencia de Inovação da UFSCar,ParqTec,Directed,1135,,,5,Ellos nos buscaron,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,8,9
AUSPIN,ParqTec,Directed,1136,,,5,Ellos nos buscaron,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,8,8
ParqTec,MCTIC,Directed,1137,,,5,Nosotros los buscamos,5,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,8,6
Embrapa,ParqTec,Directed,1138,,,5,Ellos nos buscaron,2,Sí,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,8,10
ParqTec,Anprotec,Directed,1139,,,5,Nosotros los buscamos,2,No,0_99,04_06,"Sí, la colaboración fue exitosa",Analyze,ok,8,5
ParqTec,CCTI Desenvolvimento Econômico SP,Directed,1140,,,5,Nosotros los buscamos,5,Sí,"100,000_999,999",04_06,"Sí, la colaboración fue exitosa",Analyze,ok,8,1
ParqTec,CNPq,Directed,1141,,,5,Nosotros los buscamos,5,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,8,7
ParqTec,Finep,Directed,1142,,,5,Nosotros los buscamos,5,Sí,"100,000_999,999",04_06,"Sí, la colaboración fue exitosa",Analyze,ok,8,3
ParqTec,Sebrae SP,Directed,1143,,,5,Nosotros los buscamos,5,Sí,"100,000_999,999",04_06,"Sí, la colaboración fue exitosa",Analyze,ok,8,2
WeWork,WeWork Labs,Directed,1144,,,5,Nosotros los buscamos,1,Sí,100_499,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,9,1
WeWork,ABstartups,Directed,1145,,,3,NA,NA,NA,NA,NA,NA,No data,ok,9,3
WeWork,BNDES,Directed,1146,,,3,NA,NA,NA,NA,NA,NA,No data,ok,9,8
WeWork,BNZ,Directed,1147,,,3,NA,NA,NA,NA,NA,NA,No data,ok,9,12
WeWork,Grão Investimentos,Directed,1148,,,3,NA,NA,NA,NA,NA,NA,No data,ok,9,4
WeWork,Orgânica Aceleradora,Directed,1149,,,3,NA,NA,NA,NA,NA,NA,No data,ok,9,15
WeWork,Samsung,Directed,1150,,,3,NA,NA,NA,NA,NA,NA,No data,ok,9,5
WeWork,The Next Company,Directed,1151,,,3,NA,NA,NA,NA,NA,NA,No data,ok,9,16
Canary,WeWork,Directed,1152,,,3,Ellos nos buscaron,3,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,10,4
Endeavor,WeWork,Directed,1153,,,3,Ellos nos buscaron,1,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,10,3
Estação Hack,WeWork,Directed,1154,,,3,Ellos nos buscaron,2,Sí,"1,000_2,999",04_06,"Sí, la colaboración fue exitosa",Analyze,ok,10,5
Kaszek Ventures,WeWork,Directed,1155,,,3,Ellos nos buscaron,1,No,0_99,01_03,No se logró colaborar,Analyze,ok,10,10
Cubo,WeWork,Directed,1156,,,5,Ellos nos buscaron,20,Sí,"1,000,000_",21_30,"Sí, la colaboración fue exitosa",Analyze,ok,10,2
Inovabra,WeWork,Directed,1157,,,5,Ellos nos buscaron,10,Sí,"1,000,000_",07_10,"Sí, la colaboración fue exitosa",Analyze,ok,10,1
Liga Ventures,WeWork,Directed,1158,,,5,Ellos nos buscaron,5,Sí,"5,000_9,999",07_10,"Sí, la colaboración fue exitosa",Analyze,ok,10,8
Redpoint eVentures,WeWork,Directed,1159,,,5,Ellos nos buscaron,30,Sí,"100,000_999,999",11_20,"Sí, la colaboración fue exitosa",Analyze,ok,10,9
WeWork,Astella Investimentos,Directed,1160,,,5,Nosotros los buscamos,1,Sí,"5,000_9,999",04_06,"Sí, la colaboración fue exitosa",Analyze,ok,10,6
WeWork,Kyvo Design,Directed,1161,,,5,Nosotros los buscamos,3,Sí,"5,000_9,999",07_10,"Sí, la colaboración fue exitosa",Analyze,ok,10,7
ABstartups,ABDI,Directed,1162,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,5
ABstartups,Accenture,Directed,1163,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,4
ABstartups,Apex-Brasil,Directed,1164,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,9
ABstartups,Bossa Nova,Directed,1165,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,7
ABstartups,Cubo,Directed,1166,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,6
ABstartups,Google for Startups,Directed,1167,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,1
ABstartups,Inovabra,Directed,1168,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,10
ABstartups,Nexus,Directed,1169,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,8
ABstartups,Sebrae SP,Directed,1170,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,2
ABstartups,ZeroOnze,Directed,1171,,,3,NA,NA,NA,NA,NA,NA,No data,ok,12,3
IndicatorCapital,ABVCAP,Directed,1172,,,3,NA,NA,NA,NA,NA,NA,No data,ok,13,8
IndicatorCapital,BlastU,Directed,1173,,,3,NA,NA,NA,NA,NA,NA,No data,ok,13,6
IndicatorCapital,LAVCA,Directed,1174,,,3,NA,NA,NA,NA,NA,NA,No data,ok,13,7
IndicatorCapital,NEU,Directed,1175,,,3,NA,NA,NA,NA,NA,NA,No data,ok,13,5
IndicatorCapital,Path festival,Directed,1176,,,3,NA,NA,NA,NA,NA,NA,No data,ok,13,9
IndicatorCapital,Wayra,Directed,1177,,,3,NA,NA,NA,NA,NA,NA,No data,ok,13,3
Nexus,ABDI,Directed,1178,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,4
Nexus,ABstartups,Directed,1179,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,3
Nexus,Anjos do Brasil,Directed,1180,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,6
Nexus,Apex-Brasil,Directed,1181,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,5
Nexus,FATEC,Directed,1182,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,8
Nexus,Inovacao Prefeitura Sao Jose dos Campos,Directed,1183,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,1
Nexus,ITA,Directed,1184,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,7
Nexus,Sebrae SP,Directed,1185,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,2
Nexus,Unesp,Directed,1186,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,10
Nexus,UNIFESP,Directed,1187,,,3,NA,NA,NA,NA,NA,NA,No data,ok,14,9
The Brazilian Report,French Tech,Directed,1188,,,3,NA,NA,NA,NA,NA,NA,No data,ok,15,1
Nós Innovators,CIETEC,Directed,1189,,,3,Nosotros los buscamos,2,No,0_99,01_03,"Sí, la colaboración fue exitosa",Analyze,ok,16,1
Nós Innovators,CCAB,Directed,1190,,,3,NA,NA,NA,NA,NA,NA,No data,ok,16,10
Nós Innovators,Distrito,Directed,1191,,,3,NA,NA,NA,NA,NA,NA,No data,ok,16,3
Nós Innovators,FGV,Directed,1192,,,3,NA,NA,NA,NA,NA,NA,No data,ok,16,6
Nós Innovators,Inatel,Directed,1193,,,3,NA,NA,NA,NA,NA,NA,No data,ok,16,5
Nós Innovators,Inovabra,Directed,1194,,,3,NA,NA,NA,NA,NA,NA,No data,ok,16,4
Nós Innovators,IPEN,Directed,1195,,,3,NA,NA,NA,NA,NA,NA,No data,ok,16,8
Nós Innovators,Sebrae SP,Directed,1196,,,3,NA,NA,NA,NA,NA,NA,No data,ok,16,2
Nós Innovators,USP,Directed,1197,,,3,NA,NA,NA,NA,NA,NA,No data,ok,16,7
InvestSP,CCTI Desenvolvimento Econômico SP,Directed,1198,,,4,Nosotros los buscamos,8,No,0_99,01_03,"No, la colaboración no fue exitosa",Analyze,ok,17,1
Gv Angels,InvestSP,Directed,1199,,,3,Ellos nos buscaron,3,Sí,NA,NA,NA,Analyze,ok,17,3
