Source,Target,Type,Id,Label,timeset,Weight,directionality,interactions required,collaboration agreement,budget allocated,hr allocated,result,validation,loop?,response id,bloque
EDEM,UV,Directed,2389,,,5,Direct,,Yes,300,5,Yes,Analyze,ok,04,2
EDEM,UPV,Directed,2390,,,4,Direct,20,Yes,300,5,Yes,Analyze,ok,04,3
EDEM,Lanzadera,Directed,2391,,,5,Direct,1,No,50,2,Yes,Analyze,ok,04,4
EDEM,Angels Capital,Directed,2392,,,5,Direct,1,No,50,2,Yes,Analyze,ok,04,5
EDEM,Generalitat Valenciana,Directed,2393,,,2,Direct,,No,50,2,Yes,Analyze,ok,04,6
EDEM,Ayuntamiento de Valencia,Directed,2394,,,3,Direct,20,Yes,2000,2,Yes,Analyze,ok,04,7
Clave capital,CPI,Directed,2395,,,5,Direct,5,Yes,2000000,2,Yes,Analyze,ok,05,2
Clave capital,Start UPV,Directed,2396,,,5,Direct,7,Yes,2000000,2,Yes,Analyze,ok,05,9
Clave capital,OTRI UV,Directed,2397,,,3,Direct,7,Yes,550000,2,Yes,Analyze,ok,05,10
Clave capital,REDIT,Directed,2398,,,5,Direct,6,Yes,550000,2,Yes,Analyze,ok,05,11
ITI,REDIT,Directed,2399,,,5,Direct,1,Yes,550000,8,Yes,Analyze,ok,06,1
ITI,Valencia Startups,Directed,2400,,,3,Direct,3,Yes,4000,2,Yes,Analyze,ok,06,4
ITI,CEV,Directed,2401,,,3,Direct,3,No,2000,2,Yes,Analyze,ok,06,5
ITI,Go Hub,Directed,2402,,,3,Direct,3,Yes,300,2,Yes,Analyze,ok,06,6
ITI,Lanzadera,Directed,2403,,,2,Direct,5,Yes,750,2,Unachieved,Analyze,ok,06,7
ITI,EDEM,Directed,2404,,,2,Direct,4,Yes,2000,2,Yes,Analyze,ok,06,8
ITI,UPV,Directed,2405,,,5,Direct,1,Yes,550000,40,Yes,Analyze,ok,06,9
ITI,UV,Directed,2406,,,4,Direct,3,Yes,30000,2,Yes,Analyze,ok,06,10
ITI,Universidad Jaime I,Directed,2407,,,4,Direct,3,Yes,2000,5,Yes,Analyze,ok,06,11
ITI,AVIA,Directed,2408,,,4,Direct,1,Yes,2000,2,Yes,Analyze,ok,06,12
ITI,FEMEVAL,Directed,2409,,,4,Direct,1,Yes,2000,2,Yes,Analyze,ok,06,13
ITI,Cámara Valencia,Directed,2410,,,4,Direct,1,Yes,750,2,Yes,Analyze,ok,06,14
ITI,Fundación Valencia Port,Directed,2411,,,5,Direct,1,Yes,550000,5,Yes,Analyze,ok,06,15
ITI,INCLIVA,Directed,2412,,,5,Direct,1,Yes,550000,2,Yes,Analyze,ok,06,16
ITI,CIICV,Directed,2413,,,4,Direct,1,Yes,7500,2,Yes,Analyze,ok,06,18
ITI,COITCV,Directed,2414,,,3,Direct,1,Yes,750,2,Yes,Analyze,ok,06,19
ITI,Data Cycle Hub,Directed,2415,,,5,Direct,1,Yes,550000,8,Yes,Analyze,ok,06,25
ITI,UA,Directed,2416,,,2,Direct,3,Yes,2000,2,Unachieved,Analyze,ok,06,26
Las Naves,INNOAVI,Directed,2417,,,4,Direct,3,No,300,2,Yes,Analyze,ok,07,2
Las Naves,IVF,Directed,2418,,,4,Direct,3,No,750,2,Yes,Analyze,ok,07,3
Las Naves,EMV,Directed,2419,,,4,Direct,2,No,300,2,Yes,Analyze,ok,07,7
FEVECTA,Dirección General de Emprendimiento - GVA,Directed,2420,,,5,Direct,1,Yes,550000,8,Yes,Analyze,ok,09,1
FEVECTA,LABORA,Directed,2421,,,5,Direct,2,Yes,75000,5,Yes,Analyze,ok,09,7
FEVECTA,UV,Directed,2422,,,4,Direct,1,No,750,2,Yes,Analyze,ok,09,8
FEVECTA,Caixa Popular,Directed,2423,,,5,Direct,1,Yes,7500,2,Yes,Analyze,ok,09,11
ESIC Valencia,VIT Emprende,Directed,2424,,,3,Direct,1,No,300,2,Yes,Analyze,ok,10,1
ESIC Valencia,Bbooster,Directed,2425,,,4,Direct,1,No,300,2,Yes,Analyze,ok,10,2
ESIC Valencia,Demium,Directed,2426,,,4,Direct,1,No,300,2,Yes,Analyze,ok,10,3
ESIC Valencia,REDIT,Directed,2427,,,3,Direct,2,No,300,2,Yes,Analyze,ok,10,4
ESIC Valencia,Valencia Activa,Directed,2428,,,2,Direct,2,No,300,2,No,Analyze,ok,10,5
ESIC Valencia,AJEV,Directed,2429,,,2,Direct,1,No,300,2,Unachieved,Analyze,ok,10,6
ESIC Valencia,Big Ban Angels,Directed,2430,,,4,Direct,1,Yes,300,2,Yes,Analyze,ok,10,7
ESIC Valencia,AVAESEN,Directed,2431,,,4,Direct,2,No,750,2,Yes,Analyze,ok,10,8
ESIC Valencia,Dirección General de Emprendimiento - GVA,Directed,2432,,,4,Direct,1,No,750,2,Yes,Analyze,ok,10,9
ESIC Valencia,Valencia Startups,Directed,2433,,,3,Direct,3,Yes,750,2,Yes,Analyze,ok,10,10
ESIC Valencia,Caixa Popular,Directed,2434,,,5,Direct,4,Yes,4000,15,Yes,Analyze,ok,10,11
CPI,Ayuntamiento de Valencia,Directed,2435,,,2,Direct,10,No,7500,2,Yes,Analyze,ok,11,3
CPI,Fundación Valencia Port,Directed,2436,,,2,Direct,5,NA,NA,NA,Yes,Analyze,ok,11,4
CPI,Generalitat Valenciana,Directed,2437,,,3,Direct,10,No,NA,2,Yes,Analyze,ok,11,5
Startup Valencia,Valencia Activa,Directed,2438,,,5,Direct,5,Yes,7500,2,Yes,Analyze,ok,12,1
Startup Valencia,Dirección General de Emprendimiento - GVA,Directed,2439,,,5,Direct,3,Yes,30000,2,Yes,Analyze,ok,12,2
Startup Valencia,INNOAVI,Directed,2440,,,2,Direct,3,Yes,7500,2,Yes,Analyze,ok,12,3
Startup Valencia,CEEI Valencia,Directed,2441,,,3,Direct,3,No,7500,2,Yes,Analyze,ok,12,4
Startup Valencia,Big Ban Angels,Directed,2442,,,3,Direct,3,Yes,7500,2,Yes,Analyze,ok,12,5
Startup Valencia,Go Hub,Directed,2443,,,5,Direct,5,Yes,7500,2,Yes,Analyze,ok,12,11
Valencia Activa,Generalitat Valenciana,Directed,2444,,,5,Direct,1,Yes,2000000,15,Yes,Analyze,ok,13,1
Valencia Activa,REDIT,Directed,2445,,,4,Direct,2,Yes,7500,2,Yes,Analyze,ok,13,3
Valencia Activa,IVF,Directed,2446,,,4,Direct,2,Yes,7500,2,Yes,Analyze,ok,13,4
Valencia Activa,UPV,Directed,2447,,,5,Direct,1,Yes,30000,5,Yes,Analyze,ok,13,6
Valencia Activa,UV,Directed,2448,,,5,Direct,1,Yes,30000,5,Yes,Analyze,ok,13,7
Valencia Activa,Cámara Valencia,Directed,2449,,,4,Direct,1,Yes,4000,2,Yes,Analyze,ok,13,8
Valencia Activa,INNOAVI,Directed,2450,,,4,Direct,2,Yes,30000,5,Yes,Analyze,ok,13,11
Innsomnia,Marina de empresas,Directed,2451,,,4,Direct,2,No,50,2,Yes,Analyze,ok,14,1
Innsomnia,Start UPV,Directed,2452,,,4,Direct,4,No,50,2,Yes,Analyze,ok,14,7
Innsomnia,UPV,Directed,2453,,,5,Direct,6,Yes,750,2,Yes,Analyze,ok,14,8
Innsomnia,Tech Transfer UPV,Directed,2454,,,2,Direct,1,No,50,2,Unachieved,Analyze,ok,14,9
Innsomnia,Bankia,Directed,2455,,,5,Direct,6,Yes,550000,5,Yes,Analyze,ok,14,11
Dirección General de Emprendimiento - GVA,UPV,Directed,2456,,,4,Direct,2,Yes,550000,2,Yes,Analyze,ok,17,1
Dirección General de Emprendimiento - GVA,UV,Directed,2457,,,4,Direct,2,Yes,550000,2,Yes,Analyze,ok,17,2
Dirección General de Emprendimiento - GVA,Universidad Jaime I,Directed,2458,,,4,Direct,2,Yes,75000,2,Yes,Analyze,ok,17,3
Dirección General de Emprendimiento - GVA,UA,Directed,2459,,,4,Direct,2,Yes,75000,2,Yes,Analyze,ok,17,4
Dirección General de Emprendimiento - GVA,Universidad Miguel Hernández,Directed,2460,,,4,Direct,2,Yes,75000,2,Yes,Analyze,ok,17,5
Dirección General de Emprendimiento - GVA,Valencia Startups,Directed,2461,,,4,Direct,3,Yes,30000,2,Yes,Analyze,ok,17,6
Dirección General de Emprendimiento - GVA,Cámaras CV,Directed,2462,,,4,Direct,3,Yes,550000,2,Yes,Analyze,ok,17,10
Dirección General de Emprendimiento - GVA,REDIT,Directed,2463,,,4,Direct,3,Yes,30000,2,Yes,Analyze,ok,17,11
Ingenio,Dirección General de Emprendimiento - GVA,Directed,2464,,,3,Direct,2,No,NA,2,Yes,Analyze,ok,18,2
Ingenio,Generalitat Valenciana,Directed,2465,,,2,Direct,5,No,NA,2,Yes,Analyze,ok,18,3
Ingenio,CSIC Valencia,Directed,2466,,,5,Direct,10,Yes,NA,40,Yes,Analyze,ok,18,6
Ingenio,AVAESEN,Directed,2467,,,2,Direct,3,No,NA,2,Yes,Analyze,ok,18,7
Ingenio,Las Naves,Directed,2468,,,5,Direct,3,No,NA,5,Yes,Analyze,ok,18,9
REDIT,RUVID,Directed,2469,,,3,Direct,3,No,NA,2,Yes,Analyze,ok,19,6
REDIT,AVAESEN,Directed,2470,,,2,Direct,3,No,NA,2,Yes,Analyze,ok,19,9
REDIT,Las Naves,Directed,2471,,,3,Direct,2,No,NA,2,Yes,Analyze,ok,19,15
REDIT,IVF,Directed,2472,,,3,Direct,1,No,NA,2,Yes,Analyze,ok,19,16
REDIT,Big Ban Angels,Directed,2473,,,3,Direct,1,No,NA,2,Yes,Analyze,ok,19,17
REDIT,CIPF,Directed,2474,,,2,Direct,6,No,NA,2,Unachieved,Analyze,ok,19,18
Ideas UPV,Climate KIC Accelerator,Directed,2475,,,4,Direct,1,Yes,550000,5,Yes,Analyze,ok,20,3
Ideas UPV,EIT Climate-KIC,Directed,2476,,,5,Direct,3,Yes,75000,5,Yes,Analyze,ok,20,8
Ideas UPV,Start UPV,Directed,2477,,,5,Direct,1,Yes,75000,8,Yes,Analyze,ok,20,10
Ideas UPV,AVAESEN,Directed,2478,,,5,Direct,1,Yes,30000,NA,Yes,Analyze,ok,20,11
REDIT,IVACE,Directed,2479,,,5,Direct,10,Yes,75000,5,Yes,Analyze,ok,23,1
REDIT,INNOAVI,Directed,2480,,,5,Direct,10,Yes,550000,5,Yes,Analyze,ok,23,2
KM ZERO Food,Lanzadera,Directed,2481,,,5,Direct,2,No,2000,2,Yes,Analyze,ok,24,2
KM ZERO Food,Startup Weekend,Directed,2482,,,3,Direct,2,No,2000,2,Yes,Analyze,ok,24,4
KM ZERO Food,Valencia Activa,Directed,2483,,,4,Direct,2,No,50,2,Yes,Analyze,ok,24,5
KM ZERO Food,Vortex,Directed,2484,,,4,Direct,2,No,50,2,Yes,Analyze,ok,24,6
KM ZERO Food,Valencia Plaza,Directed,2485,,,4,Direct,4,No,50,2,Yes,Analyze,ok,24,7
KM ZERO Food,VIT Emprende,Directed,2486,,,5,Direct,2,No,50,2,Yes,Analyze,ok,24,10
KM ZERO Food,Sabadell Hub Empresa,Directed,2487,,,4,Direct,6,No,750,2,Yes,Analyze,ok,24,11
Internet Freedom Festival,Ayuntamiento de Valencia,Directed,2488,,,2,Direct,2,No,30000,2,Yes,Analyze,ok,25,1
Fundación Valencia Port,Valencia Startups,Directed,2489,,,4,Direct,1,No,300,2,Yes,Analyze,ok,26,1
Fundación Valencia Port,ITI,Directed,2490,,,4,Direct,1,No,50,2,Yes,Analyze,ok,26,5
Fundación Valencia Port,Climate KIC Accelerator,Directed,2491,,,5,Direct,2,Yes,4000,5,Yes,Analyze,ok,26,6
Fundación Valencia Port,EIT Climate-KIC,Directed,2492,,,5,Direct,2,Yes,4000,5,Yes,Analyze,ok,26,7
Fundación Valencia Port,INNOAVI,Directed,2493,,,3,Direct,1,No,50,2,Yes,Analyze,ok,26,11
COEV,UV,Directed,2494,,,4,Direct,2,Yes,NA,5,Yes,Analyze,ok,N02,1
COEV,UPV,Directed,2495,,,3,Direct,NA,NA,NA,NA,NA,Analyze,ok,N02,2
Clave capital,IVF,Directed,2496,,,5,Direct,4,Yes,2000000,2,Yes,Analyze,ok,N03,1
Clave capital,I2T UPV,Directed,2497,,,5,Direct,10,Yes,7500,2,Yes,Analyze,ok,N03,2
Clave capital,INNOAVI,Directed,2498,,,5,Direct,3,No,50,2,Unachieved,Analyze,ok,N03,4
Clave capital,E&Y,Directed,2499,,,3,Direct,2,No,75000,2,Yes,Analyze,ok,N03,6
Clave capital,CPI,Directed,2500,,,4,Direct,4,Yes,75000,2,Yes,Analyze,ok,N03,7
Clave capital,Lanzadera,Directed,2501,,,4,Direct,4,No,50,2,Yes,Analyze,ok,N03,9
Clave capital,CSIC Valencia,Directed,2502,,,4,Direct,5,Yes,50,2,Yes,Analyze,ok,N03,11
Facultat d'Economia UV,OTRI UV,Directed,2503,,,5,Direct,10,No,50,2,Yes,Analyze,ok,N05,1
Facultat d'Economia UV,Ayuntamiento de Valencia,Directed,2504,,,5,Direct,5,Yes,2000,2,Yes,Analyze,ok,N05,2
Facultat d'Economia UV,Lanzadera,Directed,2505,,,4,Direct,5,No,50,2,Yes,Analyze,ok,N05,3
Facultat d'Economia UV,CEV,Directed,2506,,,2,Direct,3,No,50,2,No,Analyze,ok,N05,8
Facultat d'Economia UV,Las Naves,Directed,2507,,,5,Direct,10,No,50,2,Yes,Analyze,ok,N05,9
AVAESEN,Fundación Valencia Port,Directed,2508,,,2,Direct,4,No,50,2,Unachieved,Analyze,ok,N07,3
AVAESEN,INNOAVI,Directed,2509,,,4,Direct,1,No,30000,2,Yes,Analyze,ok,N07,4
AVAESEN,IVACE,Directed,2510,,,4,Direct,1,No,7500,2,Yes,Analyze,ok,N07,5
AVAESEN,UPV,Directed,2511,,,3,Direct,1,No,50,2,Yes,Analyze,ok,N07,6
AVAESEN,Bbooster,Directed,2512,,,3,Direct,2,Yes,2000,2,Yes,Analyze,ok,N07,7
AVAESEN,Big Ban Angels,Directed,2513,,,2,Direct,1,No,50,2,Yes,Analyze,ok,N07,8
AVAESEN,Valencia Startups,Directed,2514,,,2,Direct,1,No,50,2,Yes,Analyze,ok,N07,9
AVAESEN,KM ZERO Food,Directed,2515,,,2,Direct,1,No,50,2,Yes,Analyze,ok,N07,11
IVACE,Conselleria Economía Sostenible,Directed,2516,,,5,Direct,1,No,NA,2,Yes,Analyze,ok,N08,2
IVACE,CEEI Valencia,Directed,2517,,,5,Direct,1,No,NA,8,Yes,Analyze,ok,N08,3
IVACE,REDIT,Directed,2518,,,5,Direct,1,No,NA,5,Yes,Analyze,ok,N08,4
IVACE,rePCV,Directed,2519,,,3,Direct,1,No,NA,2,Yes,Analyze,ok,N08,5
IVACE,ADEIT,Directed,2520,,,5,Direct,1,No,NA,2,Yes,Analyze,ok,N08,9
