Label,Colabs
ASCRI,11
Business Angels IESE,9
CES UCM - Santander,10
CIEMAT,12
Compluemprende,4
Consejería de Educación e Investigación,26
Endeavor,10
FabLab Madrid CEU,12
FabLab Nebrija,3
Fábrica de Fabricantes,5
FEDIT,11
FPCM,21
FUAM,7
Fundación UAX,9
Getafe Iniciativas,7
Imaguru,7
Impact Hub Madrid,10
INIA,7
LST UPM,4
Madri+d,22
Makespace Madrid,17
MICINN,10
MIDE,8
Parque Científico UC3M,8
Santander Universidades,13
Spanish Startups,12
Startupxplore,7
The Cube,10
UAH,2
UAM,14
UC3M,4
UCJC,19
"UFV, Centro de Emprendimiento",12
"UFV, Innovación",2
UPC,13
UPC ITT,8
UPM,3
