Id,Label,timeset,type,mentions,avg strength,weight,id dir,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,componentnumber,strongcompnum,clustering,triangles,eigencentrality
500 Startups,500 Startups,,Habilitador,1,4,0.8,CABA002,0,1,1,0,4,4,5,0.267373,0.279001,0,9,0.011144,0.011145,0,125,0,0,0.024628
54 Ventures,54 Ventures,,Habilitador,2,3,1.2,CABA003,1,8,9,3,28,31,4,0.348694,0.379589,207.040844,9,0.071272,0.071271,0,127,0.238095,5,0.177831
A3,A3,,Habilitador,5,3,3,CABA004,12,14,26,35,43,78,4,0.409009,0.458884,2476.625349,0,0.174522,0.174522,0,124,0.077922,18,0.438523
AAICI,AAICI,,Articulador,6,3.333333,4,CABA005,6,1,7,17,4,21,4,0.368506,0.399046,174.307238,4,0.099379,0.099379,0,124,0.333333,7,0.238617
Acámica,Acámica,,Habilitador,1,2,0.4,CABA008,0,1,1,0,2,2,5,0.271531,0.286344,0,8,0.008572,0.008572,0,128,0,0,0.021641
Acrux Partners,Acrux Partners,,Habilitador,2,1.5,0.6,CABA009,2,0,2,3,0,3,4,0.319269,0.340675,8.246429,1,0.024221,0.024221,0,56,0,0,0.062854
ADIMRA,ADIMRA,,Vinculador,2,2.5,1,CABA010,1,1,2,3,2,5,4,0.294041,0.313142,1.546508,4,0.019203,0.019203,0,124,0,0,0.049691
AGENCIA,AGENCIA,,Articulador,2,3,1.2,CABA012,2,0,2,6,0,6,5,0.27887,0.298458,15.811692,5,0.011454,0.011454,0,44,0,0,0.031354
AHK,AHK,,Vinculador,1,3,0.6,CABA015,1,0,1,3,0,3,5,0.288437,0.305213,0,0,0.014557,0.014557,0,103,0,0,0.036097
Alcaldía de Medellín,Alcaldía de Medellín,,Articulador,1,5,1,CABA017,0,1,1,0,5,5,6,0.262428,0.275918,0,6,0.006153,0.006153,0,129,0,0,0.016764
Amani Institute,Amani Institute,,Habilitador,1,3,0.6,CABA018,1,0,1,3,0,3,5,0.279557,0.29464,0,10,0.00936,0.009361,0,17,0,0,0.02504
Ambiente y Desarrollo Sustentable Argentina,Ambiente y Desarrollo Sustentable Argentina,,Articulador,2,3.5,1.4,CABA019,2,1,3,3,5,8,4,0.319718,0.342878,25.704362,1,0.027417,0.027417,0,124,0.333333,1,0.072089
AMCHAM,AMCHAM,,Vinculador,2,3,1.2,CABA021,2,0,2,6,0,6,4,0.303476,0.324523,1.248961,0,0.034401,0.034401,0,22,0,0,0.079684
ANDE,ANDE,,Articulador,1,5,1,CABA023,0,1,1,0,5,5,6,0.262428,0.275918,0,6,0.006153,0.006153,0,130,0,0,0.016764
ANII,ANII,,Articulador,1,5,1,CABA025,1,0,1,5,0,5,6,0.262428,0.275918,0,6,0.006153,0.006153,0,73,0,0,0.016764
Apertura,Apertura,,Promotor,3,2.666667,1.6,CABA026,3,0,3,8,0,8,5,0.300265,0.327093,35.699034,11,0.022523,0.022524,0,53,0,0,0.05923
ARCAP,ARCAP,,Vinculador,15,3.333333,10,CABA027,12,8,20,39,28,67,4,0.409009,0.451909,1206.501571,9,0.216611,0.21661,0,124,0.175,21,0.522776
Argencon,Argencon,,Vinculador,2,3.5,1.4,CABA028,1,1,2,3,4,7,4,0.303476,0.324523,1.248961,5,0.034401,0.034401,0,124,0,0,0.079684
ASEA,ASEA,,Vinculador,16,2.9375,9.4,CABA029,12,23,35,32,72,104,4,0.453094,0.516153,4033.855273,0,0.2777,0.277701,0,124,0.094474,53,0.682803
ASECH,ASECH,,Vinculador,1,5,1,CABA030,1,0,1,5,0,5,5,0.312242,0.331057,0,0,0.021653,0.021653,0,123,0,0,0.052624
