Id,Label,timeset,fullname,type,mentions,avg strength,weight,id dir,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,clustering,rol estimado,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,triangles,eigencentrality
Cenapyme,Cenapyme,,Centro Nacional de Apoyo a la Pequeña y Mediana Empresa,,,1,0.2,CDMX088,0,1,1,0,1,1,0,Habilitador,6,0.247098,0.258725,0,10,0,152,0,0.025775
Compartamos Banco,Compartamos Banco,,Compartamos Banco,,,1,0.2,CDMX117,0,1,1,0,1,1,0,Habilitador,6,0.247098,0.258725,0,10,0,153,0,0.025775
SECTEI,SECTEI,,"Secretaría de Educación, Ciencia, Tecnología e Innovación",,,1,0.2,CDMX358,1,0,1,1,0,1,0,Articulador,5,0.278765,0.295414,0,0,0,26,0,0.070557
Victoria147,Victoria147,,Victoria 147 Academia de Negocios,,,1,0.2,CDMX426,1,0,1,1,0,1,0,Habilitador,7,0.200134,0.212832,0,9,0,154,0,0.006758
Accenture,Accenture,,Accenture México,,,2,0.4,CDMX005,0,1,1,0,2,2,0,Habilitador,6,0.214852,0.229195,0,1,0,155,0,0.010384
AMCDPE,AMCDPE,,Asociación Mexicana de Centros para el Desarrollo de la Pequeña Empresa,,,2,0.4,CDMX027,1,0,1,2,0,2,0,Vinculador,5,0.278765,0.295414,0,0,0,32,0,0.070557
Dalus,Dalus,,Dalus Capital,,,1,0.4,CDMX130,1,2,3,1,2,3,0.333333,Habilitador,5,0.271898,0.294966,32.377223,5,0,151,1,0.072953
Haz La Lucha,Haz La Lucha,,Haz La Lucha,,,2,0.4,CDMX223,0,1,1,0,2,2,0,Habilitador,6,0.234461,0.246477,0,3,0,156,0,0.014905
TecNM,TecNM,,Tecnológico Nacional de México,,,2,0.4,CDMX397,1,0,1,2,0,2,0,Habilitador,5,0.278765,0.295414,0,0,0,99,0,0.070557
AcelerA,AcelerA,,AcelerA Universidad Anáhuac México,,,3,0.6,CDMX006,0,2,2,0,10,10,0,Habilitador,5,0.261174,0.277013,131.716883,2,0,157,0,0.036657
Agora,Agora,,Agora Partnerships,,,3,0.6,CDMX012,1,0,1,3,0,3,0,Habilitador,6,0.255794,0.274161,0,7,0,158,0,0.037324
AIIMX,AIIMX,,Alianza por la Inversión de Impacto,,,3,0.6,CDMX013,1,0,1,3,0,3,0,Vinculador,6,0.255794,0.274161,0,7,0,159,0,0.037324
