Id,Label,timeset,fullname,type,weight,"# gephi",indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,clustering,triangles,eigencentrality
inMateriis,inMateriis,,inMateriis,Generador de Conocimiento,1.4,54,10,15,25,34,69,103,4,0.426606,0.478943,1693.202956,0.195813,0.195813,3,0,0.110526,21,0.472239
Actum BSS,Actum BSS,,Actum Business Solutions & Strategy,Habilitador,1,62,1,0,1,5,0,5,5,0.299517,0.316487,0,0.014298,0.014298,3,0,0,0,0.0342
CIATEJ,CIATEJ,,Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco,Generador de Conocimiento,4.4,44,7,17,24,17,41,58,3,0.428571,0.485663,1833.776078,0.149225,0.149224,6,0,0.086957,22,0.38113
AMC,AMC,,Academia Mexicana de Ciencias,Vinculador,0.2,156,1,0,1,1,0,1,4,0.300485,0.318548,0,0.010896,0.010896,6,0,0,0,0.028834
CIE ITESM GDA,CIE ITESM GDA,,"Centro de Inteligencia de Emprendimiento, Tecnológico de Monterrey en Guadalajara",Generador de Conocimiento,1,47,0,16,16,0,31,31,4,0.396588,0.43862,1055.693817,0.149471,0.14947,1,0,0.10989,10,0.355804
AMCHAM,AMCHAM,,American Chamber of Commerce of Mexico en Guadalajara,Vinculador,0.2,157,1,0,1,1,0,1,5,0.284404,0.299014,0,0.010914,0.010914,1,0,0,0,0.025773
Enlace E+E GDA,Enlace E+E GDA,,Enlace E+E Guadalajara,Habilitador,0.6,79,2,16,18,10,55,65,5,0.383505,0.433871,1746.692659,0.118656,0.118654,0,0,0.022059,3,0.289001
AMEXCAP,AMEXCAP,,Asociación Mexicana de Capital Privado,Vinculador,1.2,158,3,0,3,7,0,7,5,0.325175,0.350986,16.033955,0.032498,0.032498,0,0,0.333333,1,0.077847
Global Proteus,Global Proteus,,Global Proteus,Habilitador,3.6,85,8,16,24,18,65,83,5,0.38193,0.429391,1092.06938,0.158269,0.158268,1,0,0.141667,17,0.375374
INADEM,INADEM,,Instituto Nacional del Emprendedor,Articulador,10.2,9,10,4,14,40,12,52,4,0.419865,0.459229,636.888384,0.16815,0.168151,3,0,0.254545,14,0.403268
