Id,Label,timeset,fullname,type,participation,avg strength,mentions,weight,id dir,url,description,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,triangles,eigencentrality
AGARED,AGARED,,AGARED,Linker,,3,1,0.6,HGO001,https://www.agared.org/,Red temática mexicana aprovechamiento integral sustentable y biotecnología de los agaves,1,0,1,5,0.287037,0.303629,0,1,0,0,0,1,0,1,0.0107,0.0107,0,0.02333
AMMJE,AMMJE,,Asociación Mexicana de Mujeres Jefas de Empresas,Linker,,5,1,1,HGO002,http://ammje.mx/consejo-nacional,"Organización que agrupa a mujeres empresarias, propietarias o accionistas que participan en la operación de micro, pequeñas, medianas y grandes empresas",0,1,1,5,0.288372,0.306855,0,6,0,57,0,0,5,5,0.016352,0.016352,0,0.034683
BNI,BNI,,Business Network Internacional,Linker,,4,1,0.8,HGO003,https://www.bni.com/,Empresa que ayuda a crecer negocios mediante programas de mercadotecnia.,0,1,1,6,0.240777,0.256183,0,6,0,58,0,0,4,4,0.004849,0.004849,0,0.012927
Business As Unusual,Business As Unusual,,Business As Unusual,Enabler,,3,1,0.6,HGO004,http://unusual.business/es/,Agencia human-centered de consultoría en innovación Y desarrollo de startups-,1,0,1,5,0.279279,0.297312,0,3,0,39,0,3,0,3,0.007955,0.007955,0,0.018735
Calpulli,Calpulli,,Asesores y Consultores Calpulli,Enabler,,5,1,1,HGO005,http://www.calpulli.org.mx/,Empresa dedicada al fortalecimiento de las empresas e instituciones.,0,1,1,5,0.295943,0.316263,0,8,0,59,0,0,5,5,0.018587,0.018588,0,0.038127
CANACINTRA Pachuca,CANACINTRA Pachuca,,"Cámara Nacional de la Industria de Transformación, Pachuca",Linker,,2.909091,11,6.4,HGO006,http://www.canacintrapachuca.mx/,Busca también promover acciones tanto del gobierno como de otros organismos empresariales que puedan contribuir a mejorar la actividad industrial,9,3,12,4,0.424658,0.468414,505.569675,6,0,52,0.138889,28,3,31,0.150648,0.150655,5,0.328985
CANACO Pachuca,CANACO Pachuca,,Cámara Nacional de Comercio y Turismo de Pachuca,Linker,,3,3,1.8,HGO007,http://canacopachuca.org/,"Institución que representa, defiende y promueve a las empresas del comercio, los servicios y el turismo",3,0,3,4,0.363636,0.393817,13.045353,1,0,14,0.333333,9,0,9,0.080248,0.08025,1,0.164898
CANIRAC,CANIRAC,,Cámara Nacional de la Industria de Restaurantes y Alimentos Condimentados,Linker,,4,1,0.8,HGO008,http://www.canirac.org.mx/,"Organización empresarial de carácter nacional que representa, integra, capacita, promueve y defiende los intereses de la industria Restaurantera",1,0,1,5,0.288372,0.306855,0,6,0,55,0,4,0,4,0.016352,0.016352,0,0.034683
Casa México,Casa México,,Casa México,Promoter,,1,1,0.2,HGO009,http://casamexicosxsw.com.mx/,"Plataforma para presentar las propuestas de Mexico en el Festival SXSW, facilitando la participación de emprendedores mexicanos, conectando con inversionistas potenciales.",1,0,1,5,0.279279,0.297312,0,3,0,36,0,1,0,1,0.007955,0.007955,0,0.018735
CCEH,CCEH,,Consejo Coordinador Empresarial del Estado de Hidalgo,Linker,1,3.727273,11,8.2,HGO010,http://cceh.mx/,El Consejo Coordinador Empresarial del Estado de Hidalgo es la Cúpula Empresarial que agrupa a las principales Cámaras y Asociaciones del Estado,13,9,22,4,0.473282,0.532258,1019.990843,1,0,52,0.150327,53,34,87,0.330788,0.330798,23,0.694876
CECyTE HGO,CECyTE HGO,,Colegio de Estudios Científicos y Tecnológicos del Estado de Hidalgo,Enabler,1,3,1,0.6,HGO011,http://www.cecyteh.edu.mx/,Institución de edudación media superior,4,12,16,3,0.427586,0.481183,947.113817,1,0,52,0.043956,20,58,78,0.168166,0.168166,4,0.359611
Centro Emprendimiento COBAEH,Centro Emprendimiento COBAEH,,Centros de Emprendimiento del Colegio de Bachilleres del Estado De Hidalgo,Enabler,1,3,2,1.2,HGO012,https://www.cobaeh.edu.mx/,Institución de educación media superior,1,0,1,4,0.350282,0.372312,0,1,0,46,0,1,0,1,0.042758,0.04276,0,0.087956
