Id,Label,timeset,rol estimado,mentions,avg strength,weight,id dir,clustering,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,triangles
AEFI,AEFI,,Vinculador,1,1,0.2,MAD014,0,0.004832,6,0.223474,0.238796,0,10,0,100,0,1,1,0,1,1,0
Deloitte,Deloitte,,Habilitador,1,1,0.2,MAD108,1,0.038254,6,0.286058,0.307703,0,2,0,101,0,2,2,0,2,2,1
El Diario,El Diario,,Promotor,1,1,0.2,MAD117,0,0.008738,6,0.228846,0.248669,0,8,0,102,0,1,1,0,1,1,0
El Mundo,El Mundo,,Promotor,1,1,0.2,MAD118,0,0.008738,6,0.228846,0.248669,0,8,0,103,0,1,1,0,1,1,0
Fundación Gadea para la Ciencia,Fundación Gadea para la Ciencia,,Vinculador,1,1,0.2,MAD168,0,0.021899,6,0.262115,0.278992,0,4,0,89,1,0,1,1,0,1,0
M21 Radio,M21 Radio,,Promotor,1,1,0.2,MAD238,0,0.008738,6,0.228846,0.248669,0,8,0,104,0,1,1,0,1,1,0
Madrid International Lab,Madrid International Lab,,Habilitador,1,1,0.2,MAD243,0,0.012064,6,0.25079,0.267017,0,8,0,38,1,0,1,1,0,1,0
UCJC SEK LAB,UCJC SEK LAB,,Habilitador,1,1,0.2,MAD350,1,0.034187,6,0.277066,0.297199,0,0,0,105,0,2,2,0,2,2,1
UIMP,UIMP,,Habilitador,1,1,0.2,MAD356,0,0.011565,6,0.237762,0.252521,0,2,0,106,0,1,1,0,1,1,0
AIDI,AIDI,,Vinculador,1,2,0.4,MAD018,0,0.012064,6,0.25079,0.267017,0,8,0,39,1,0,1,2,0,2,0
CBS insights,CBS insights,,Habilitador,1,2,0.4,MAD073,0,0.006463,7,0.223265,0.242307,0,6,0,35,1,0,1,2,0,2,0
Consejería de Sanidad,Consejería de Sanidad,,Articulador,1,2,0.4,MAD096,1,0.093911,6,0.28744,0.314146,0,1,0,29,2,0,2,3,0,3,1
DBS,DBS,,Habilitador,1,2,0.4,MAD106,0,0.009314,7,0.231293,0.246509,0,11,0,107,0,1,1,0,2,2,0
FOND-ICO Global,FOND-ICO Global,,Habilitador,1,2,0.4,MAD156,0,0.005178,6,0.225806,0.240546,0,0,0,78,1,0,1,2,0,2,0
GAIN,GAIN,,Articulador,1,2,0.4,MAD175,0,0.026832,6,0.270455,0.289286,0,2,0,79,1,0,1,2,0,2,0
GMV,GMV,,Generador de Conocimiento,1,2,0.4,MAD181,0,0.018919,6,0.254545,0.273039,0,2,0,88,1,0,1,2,0,2,0
IED,IED,,Habilitador,1,2,0.4,MAD200,0,0.008738,6,0.228846,0.248669,0,8,0,108,0,1,1,0,2,2,0
INCARI,INCARI,,Generador de Conocimiento,1,2,0.4,MAD212,0,0.006463,7,0.223265,0.242307,0,6,0,109,0,1,1,0,2,2,0
La Nave Madrid,La Nave Madrid,,Habilitador,1,2,0.4,MAD233,0,0.046382,6,0.291667,0.312815,0,2,0,90,1,0,1,2,0,2,0
Madrid Activa,Madrid Activa,,Articulador,1,2,0.4,MAD240,0,0.011243,6,0.249738,0.263305,0,1,0,33,1,0,1,2,0,2,0
Madrid Network,Madrid Network,,Vinculador,1,2,0.4,MAD244,1,0.180528,6,0.306306,0.337745,0,1,0,99,2,1,3,3,5,8,3
MCAA,MCAA,,Comunidad,1,2,0.4,MAD250,0,0.074346,6,0.287093,0.312045,0,1,0,110,0,1,1,0,2,2,0
Mujeres Tech,Mujeres Tech,,Comunidad,1,2,0.4,MAD266,0,0.008738,6,0.228846,0.248669,0,8,0,111,0,1,1,0,2,2,0
Open Source Weekends,Open Source Weekends,,Comunidad,1,2,0.4,MAD275,0,0.008738,6,0.228846,0.248669,0,8,0,112,0,1,1,0,2,2,0
Red de Fablabs de Madrid,Red de Fablabs de Madrid,,Vinculador,1,2,0.4,MAD295,0,0.008738,6,0.228846,0.248669,0,8,0,9,1,0,1,2,0,2,0
The Things Network,The Things Network,,Comunidad,1,2,0.4,MAD334,0,0.008738,6,0.228846,0.248669,0,8,0,113,0,1,1,0,2,2,0
ABAX,ABAX,,Habilitador,1,3,0.6,MAD003,0,0.00229,8,0.1904,0.201961,0,5,0,117,0,1,1,0,3,3,0
AEAC,AEAC,,Vinculador,1,3,0.6,MAD011,0,0.021899,6,0.262115,0.278992,0,4,0,12,1,0,1,3,0,3,0
AEF,AEF,,Vinculador,1,3,0.6,MAD013,0,0.015036,6,0.257019,0.27479,0,3,0,91,1,0,1,3,0,3,0
Amcham Spain,Amcham Spain,,Vinculador,1,3,0.6,MAD024,0,0.005178,6,0.225806,0.240546,0,0,0,118,0,1,1,0,3,3,0
AMETIC,AMETIC,,Vinculador,1,3,0.6,MAD025,0,0.065199,6,0.279343,0.29944,0,1,0,87,1,0,1,3,0,3,0
Asociación de Empresarios del Henares,Asociación de Empresarios del Henares,,Vinculador,1,3,0.6,MAD036,0,0.011243,6,0.249738,0.263305,0,1,0,34,1,0,1,3,0,3,0
Ayto. Rozas,Ayto. Rozas,,Articulador,1,3,0.6,MAD048,0,0.012782,6,0.261251,0.277661,0,7,0,119,0,1,1,0,3,3,0
B-Corp,B-Corp,,Habilitador,1,3,0.6,MAD051,0,0.015036,6,0.257019,0.27479,0,3,0,5,1,0,1,3,0,3,0
Bankinter,Bankinter,,Habilitador,1,3,0.6,MAD053,0,0.006463,7,0.223265,0.242307,0,6,0,120,0,1,1,0,3,3,0
BuildUp! Ferrovial,BuildUp! Ferrovial,,Habilitador,1,3,0.6,MAD063,0,0.014246,7,0.246888,0.264506,0,3,0,97,1,0,1,3,0,3,0
Cabiedes & Partners,Cabiedes & Partners,,Habilitador,1,3,0.6,MAD067,0,0.004832,6,0.223474,0.238796,0,10,0,1,1,0,1,3,0,3,0
CAIT,CAIT,,Habilitador,1,3,0.6,MAD068,0,0.007203,7,0.238,0.251901,0,3,0,121,0,1,1,0,3,3,0
Centro empresas Henares,Centro empresas Henares,,Habilitador,1,3,0.6,MAD078,0,0.042144,6,0.273563,0.294818,237,1,0,123,0,2,2,0,10,10,0
CIADE,CIADE,,Habilitador,1,3,0.6,MAD084,0,0.046382,6,0.291667,0.312815,0,2,0,124,0,1,1,0,3,3,0
EIC Innovation Radar,EIC Innovation Radar,,Promotor,1,3,0.6,MAD115,0,0.008582,6,0.246377,0.262745,0,6,0,18,1,0,1,3,0,3,0
El País,El País,,Promotor,2,1.5,0.6,MAD119,0,0.020802,6,0.262983,0.288655,119.704521,8,0,99,1,1,2,1,2,3,0
Endeavor,Endeavor,,Habilitador,1,3,0.6,MAD127,0,0.039117,5,0.29131,0.326611,1490.938276,0,0,99,3,7,10,9,27,36,0
Esc. Secot de Emprendedores,Esc. Secot de Emprendedores,,Habilitador,1,3,0.6,MAD135,1,0.025466,6,0.261251,0.283053,0,11,0,54,2,0,2,4,0,4,1
FabLab León,FabLab León,,Habilitador,1,3,0.6,MAD143,0,0.001989,8,0.173091,0.181678,0,7,0,125,1,0,1,3,0,3,0
FabLab Madrid CEU,FabLab Madrid CEU,,Habilitador,1,3,0.6,MAD144,0.025641,0.102508,5,0.316911,0.362395,2256.851035,4,0,99,6,10,16,21,47,68,2
FabLab Nebrija,FabLab Nebrija,,Habilitador,1,3,0.6,MAD145,0,0.0074,7,0.209139,0.22428,473,7,0,127,0,4,4,0,15,15,0
Fábrica de Fabricantes,Fábrica de Fabricantes,,Habilitador,1,3,0.6,MAD146,0,0.009332,7,0.234946,0.258343,541.043734,5,0,116,3,2,5,8,6,14,0
Fly News,Fly News,,Promotor,1,3,0.6,MAD155,0,0.006089,7,0.21976,0.235374,0,9,0,128,0,1,1,0,3,3,0
Foro de Empresas Innovadoras,Foro de Empresas Innovadoras,,Habilitador,1,3,0.6,MAD157,0,0.065199,6,0.279343,0.29944,0,1,0,85,1,0,1,3,0,3,0
Foro Impacto,Foro Impacto,,Habilitador,1,3,0.6,MAD158,0,0.015036,6,0.257019,0.27479,0,3,0,92,1,0,1,3,0,3,0
Fundación UAX,Fundación UAX,,Habilitador,1,3,0.6,MAD172,0.083333,0.100587,6,0.300505,0.336835,801.558138,11,0,99,5,7,12,14,27,41,3
Fundación Universitaria CEU,Fundación Universitaria CEU,,Habilitador,1,3,0.6,MAD174,0,0.010339,6,0.240891,0.258543,0,4,0,65,1,0,1,3,0,3,0
Grupo Meetup Drones Madrid,Grupo Meetup Drones Madrid,,Comunidad,1,3,0.6,MAD184,0,0.008738,6,0.228846,0.248669,0,8,0,129,0,1,1,0,3,3,0
