Id,Label,timeset,id interno,fullname,rol,region,description,evaluador,avg. strength,mentions,weight,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,clustering,triangles,eigencentrality
Instituto UNIVITA,Instituto UNIVITA,,66,Universidad Virtual de Nuevas Tecnologías,Habilitador,Valles Centrales,Institución de educación superior Ofrece serviciios educativos y de capacitación continua,1,3,,0.6,0,3,3,0,11,11,4,0.349882,0.373874,154.312569,0.04819,0.048193,2,0,0,0,0.094598
CGEMSYS,CGEMSYS,,1,"Coordinación General de Educación Media Superior, Superior, Ciencia y Tecnología",Articulador,Valles Centrales,"Coordinar la planeación, Programación, ejecución, seguimiento, evaluación y mejora de los servicios educativos que ofrecen el conjunto de Instituciones de Educación Superior, Subsistemas de Educación Media Superior, el Organismo de Educación para Adultos y el de Ciencia y Tecnología en congruencia con los planes y programas establecidos en la legislación federal y local.",0,5,1,1,1,0,1,5,0,5,5,0.259649,0.270946,0,0.004055,0.004055,2,0,0,0,0.00836
ProMéxico,ProMéxico,,120,Pro México Inversión y Comercio,Promotor,CDMX,"Organismo de gobierno Federal , apoya la exportación",1,3,,0.6,4,6,10,11,16,27,3,0.396783,0.435811,519.246292,0.089535,0.089538,0,0,0.133333,6,0.192231
COCITEI,COCITEI,,2,"Consejo Oaxaqueño de Ciencia, Tecnología e Innovación",Articulador,Valles Centrales,"Organismo público descentralizado del gobierno del estado de Oaxaca, que promueve la ciencia, tecnología e innovación en el estado para contribuir a su desarrollo",0,1,1,0.2,2,0,2,2,0,2,4,0.302658,0.322072,0,0.017833,0.017833,0,0,1,1,0.03967
UTVCO,UTVCO,,109,Universidad Tecnológica de los Valles Centrales de Oaxaca,Habilitador,Valles Centrales,Instutución educativa  de nievel superior perteneciente al sistema SUNEO,1,4.4,10,9.4,14,15,29,66,65,131,3,0.45122,0.522523,2483.275937,0.229776,0.229779,0,0,0.070769,23,0.483474
CONACYT,CONACYT,,3,Consejo Nacional de Ciencia y Tecnología,Articulador,CDMX,Organismo público descentralizado dedicado a promover y estimular el desarrollo de la ciencia y la tecnología en ese país. Tiene la responsabilidad oficial para elaborar las políticas de ciencia y tecnología nacionales.,0,4,1,0.8,1,0,1,4,0,4,4,0.311579,0.333333,0,0.019333,0.019332,0,0,0,0,0.041677
Dir. de Economía del Mpio. de Oaxaca de Juárez,Dir. de Economía del Mpio. de Oaxaca de Juárez,,7,Dirección General de Economía del Municipio de Oaxaca de Juárez,Articulador,Valles Centrales,"Secretaría que establecer los principios, políticas y programas que conduzcan el desarrollo cultural, turístico y económico en el municipio.",1,3,,0.6,0,3,3,0,12,12,4,0.369077,0.39527,147,0.062541,0.062544,0,0,0.333333,1,0.124928
"Coord. de las Culturas, Turismo y Economía del Mpio. de Oaxaca","Coord. de las Culturas, Turismo y Economía del Mpio. de Oaxaca",,4,"Coordinación de las Culturas, Turismo y Economía del Municipio de Oaxaca",Articulador,Valles Centrales,"Institución gubernametal. Establece los principios, políticas y programas que conduzcan el desarrollo cultural, turístico y económico en el municipio de Oaxaca",0,5,1,1,1,0,1,5,0,5,5,0.270073,0.281982,0,0.005262,0.005262,0,0,0,0,0.010718
COPLADE,COPLADE,,5,Coordinación de Planeación del Desarrollo,Articulador,Valles Centrales,"Impulsar el proceso de planeación para el desarrollo sustentable en el Estado, fortaleciendo los mecanismos de coordinación, colaboración, inducción y gestión con los gobiernos Federal y municipales , se encarga de la planeación, diseño, promoción, aplicación y conducción de políticas públicas, programas y proyectos para el desarrollo",0,3,1,0.6,0,1,1,0,3,3,5,0.266667,0.285586,0,0.005283,0.005283,0,0,0,0,0.015248
UABJO,UABJO,,92,Universidad Autónoma Benito Juárez de Oaxaca,Habilitador,Valles Centrales,"Institución de Educacion Superior, descentralizada",1,5,2,2.6,5,10,15,20,42,62,4,0.362745,0.413851,711.548713,0.062787,0.062788,0,0,0.015152,1,0.154475
