Id,Label,timeset,rol estimado,mentions,avg strength,weight,id dir,node size,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,Authority,Hub,triangles,eigencentrality
AosFatos,AosFatos,,Promotor,1,1,0.2,SAO031,,1,0,1,1,0,1,8,0.197248,0.217846,0,6,0,0,0,0.00325,0.00325,0,0.018553
FACENS,FACENS,,Habilitador,1,1,0.2,SAO128,,2,0,2,2,0,2,8,0.218274,0.243272,0,5,0,1,1,0.028031,0.028031,1,0.120428
Anpecom,Anpecom,,Habilitador,1,2,0.4,SAO028,,1,0,1,2,0,2,8,0.180824,0.197757,0,1,0,2,0,0.000921,0.000921,0,0.01523
IFSP,IFSP,,Habilitador,1,2,0.4,SAO181,,0,1,1,0,2,2,8,0.218053,0.240947,0,5,0,110,0,0.01508,0.01508,0,0.064735
InfoAmazonia,InfoAmazonia,,Promotor,1,2,0.4,SAO187,,1,0,1,2,0,2,8,0.197248,0.217846,0,6,0,111,0,0.00325,0.00325,0,0.018553
Integração,Integração,,Habilitador,1,2,0.4,SAO208,,1,0,1,2,0,2,8,0.180824,0.197757,0,1,0,112,0,0.000921,0.000921,0,0.01523
TEDX,TEDX,,Promotor,1,2,0.4,SAO334,,1,0,1,2,0,2,8,0.180824,0.197757,0,1,0,113,0,0.000921,0.000921,0,0.01523
Accenture,Accenture,,Habilitador,1,3,0.6,SAO009,,1,0,1,3,0,3,6,0.258413,0.280388,0,7,0,84,0,0.023718,0.023718,0,0.083324
AUIN,AUIN,,Habilitador,1,3,0.6,SAO013,,0,7,7,0,25,25,6,0.271465,0.311395,469.218115,0,0,120,0,0.056691,0.056691,0,0.209591
Aliança Empreendedora,Aliança Empreendedora,,Habilitador,1,3,0.6,SAO017,,2,8,10,5,26,31,7,0.220513,0.256711,1149.693184,1,0,123,0.035714,0.007832,0.007831,1,0.078612
Alpha Valley,Alpha Valley,,Comunidad,1,3,0.6,SAO019,,1,0,1,3,0,3,6,0.245154,0.265194,0,9,0,46,0,0.020431,0.020431,0,0.068191
Amani Institute,Amani Institute,,Habilitador,1,3,0.6,SAO020,,2,8,10,6,27,33,5,0.293315,0.335504,3949.71762,3,0,75,0,0.038115,0.038114,0,0.15782
Amazon,Amazon,,Habilitador,1,3,0.6,SAO022,,1,0,1,3,0,3,7,0.252347,0.279181,0,3,0,102,0,0.014283,0.014284,0,0.070003
ASUG,ASUG,,Vinculador,1,3,0.6,SAO041,,1,0,1,3,0,3,8,0.223029,0.245188,0,9,0,124,0,0.007515,0.007515,0,0.03174
Banco Agibank,Banco Agibank,,Habilitador,1,3,0.6,SAO045,,1,0,1,3,0,3,8,0.228967,0.252364,0,9,0,38,0,0.011457,0.011457,0,0.04442
Basement,Basement,,Habilitador,1,3,0.6,SAO048,,1,0,1,3,0,3,8,0.179167,0.194662,0,3,0,125,0,0.000287,0.000287,0,0.008218
BlastU,BlastU,,Promotor,1,3,0.6,SAO053,,1,0,1,3,0,3,8,0.230439,0.255975,0,4,0,22,0,0.011968,0.011968,0,0.050363
Bosch,Bosch,,Generador de Conocimiento,1,3,0.6,SAO057,,1,0,1,3,0,3,6,0.247126,0.270388,0,9,0,56,0,0.026079,0.02608,0,0.091103
Bossa Nova,Bossa Nova,,Habilitador,1,3,0.6,SAO058,,1,0,1,3,0,3,6,0.258413,0.280388,0,7,0,83,0,0.023718,0.023718,0,0.083324
BRAERG,BRAERG,,Generador de Conocimiento,1,3,0.6,SAO059,,1,0,1,3,0,3,8,0.160808,0.178621,0,2,0,68,0,0.000083,0.000083,0,0.015293
Brandtone,Brandtone,,Habilitador,1,3,0.6,SAO060,,1,0,1,3,0,3,8,0.176809,0.194978,0,4,0,126,0,0.000392,0.000392,0,0.011013
Caccuri Advisors,Caccuri Advisors,,Habilitador,1,3,0.6,SAO065,,1,0,1,3,0,3,8,0.176809,0.194978,0,4,0,127,0,0.000392,0.000392,0,0.011013
Cámara Española de Comercio en Brasil,Cámara Española de Comercio en Brasil,,Vinculador,1,3,0.6,SAO068,,1,0,1,3,0,3,6,0.245154,0.265194,0,9,0,45,0,0.020431,0.020431,0,0.068191
CCAB,CCAB,,Vinculador,1,3,0.6,SAO073,,1,0,1,3,0,3,6,0.236524,0.254109,0,8,0,128,0,0.015764,0.015764,0,0.055071
Central 9,Central 9,,Habilitador,1,3,0.6,SAO080,,1,9,10,3,31,34,7,0.214571,0.254795,1890,4,0,135,0,0.003331,0.003331,0,0.044315
Cignifi,Cignifi,,Habilitador,1,3,0.6,SAO088,,1,0,1,3,0,3,8,0.176809,0.194978,0,4,0,134,0,0.000392,0.000392,0,0.011013
CNM,CNM,,Vinculador,1,3,0.6,SAO089,,1,0,1,3,0,3,7,0.252347,0.279181,0,3,0,99,0,0.014283,0.014284,0,0.070003
CUP Sciences,CUP Sciences,,Generador de Conocimiento,1,3,0.6,SAO102,,1,0,1,3,0,3,8,0.160808,0.178621,0,2,0,67,0,0.000083,0.000083,0,0.015293
Din4mo,Din4mo,,Habilitador,1,3,0.6,SAO107,,0,7,7,0,21,21,7,0.218053,0.25052,1084.259731,3,0,140,0,0.002443,0.002443,0,0.032352
Espro,Espro,,Habilitador,1,3,0.6,SAO123,,1,0,1,3,0,3,8,0.223029,0.245188,0,9,0,141,0,0.007515,0.007515,0,0.03174
FATEC,FATEC,,Generador de Conocimiento,1,3,0.6,SAO132,,1,0,1,3,0,3,6,0.239155,0.256667,0,5,0,80,0,0.010137,0.010138,0,0.039228
FIIMP,FIIMP,,Vinculador,1,3,0.6,SAO136,,1,0,1,3,0,3,8,0.179167,0.194662,0,3,0,139,0,0.000287,0.000287,0,0.008218
FNP,FNP,,Vinculador,1,3,0.6,SAO139,,1,0,1,3,0,3,7,0.252347,0.279181,0,3,0,98,0,0.014283,0.014284,0,0.070003
Folha de São Paulo,Folha de São Paulo,,Promotor,1,3,0.6,SAO140,,1,0,1,3,0,3,7,0.213718,0.232071,0,0,0,114,0,0.006667,0.006667,0,0.026812
