Id,Label,timeset,type,mentions,avg strength,weight,id dir,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality
IVACE,IVACE,,Articulator,24,4.375,21,VLN151,20,29,49,86,105,191,3,0.474801,0.541899,1689.400214,0,0.229839,114,0.916728
REDIT,REDIT,,Linker,23,3.652174,16.8,VLN179,25,25,50,98,76,174,3,0.498607,0.571695,1647.882713,1,0.225371,167,0.996052
UPV,UPV,,Knowledge Generator,21,3.857143,16.2,VLN208,17,14,31,73,41,114,3,0.477333,0.530726,796.853382,4,0.36,108,0.80503
Ayuntamiento de Valencia,Ayuntamiento de Valencia,,Articulator,22,3.5,15.4,VLN028,13,11,24,46,33,79,4,0.445274,0.498603,530.762726,3,0.4,76,0.636667
Generalitat Valenciana,Generalitat Valenciana,,Articulator,17,4.235294,14.4,VLN123,15,2,17,64,8,72,3,0.429257,0.472998,475.105275,2,0.352381,37,0.432726
INNOAVI,INNOAVI,,Articulator,20,3.5,14,VLN144,14,17,31,51,72,123,3,0.47861,0.535382,1518.334157,7,0.233618,82,0.637715
UV,UV,,Knowledge Generator,15,4.266667,12.8,VLN209,17,23,40,69,81,150,3,0.458974,0.526071,652.000951,3,0.278161,121,0.793419
CEV,CEV,,Linker,17,3.588235,12.2,VLN055,16,2,18,55,7,62,3,0.435523,0.482309,342.201326,7,0.419118,57,0.513632
Valencia Activa,Valencia Activa,,Articulator,15,3.533333,10.6,VLN211,10,29,39,38,103,141,3,0.494475,0.555866,902.246409,4,0.330645,164,1
IVF,IVF,,Enabler,13,3.769231,9.8,VLN153,13,0,13,49,0,49,4,0.417249,0.456704,121.359885,6,0.581818,32,0.420601
Lanzadera,Lanzadera,,Enabler,12,4,9.6,VLN161,10,2,12,40,8,48,4,0.381663,0.426443,125.588476,6,0.288889,13,0.241013
Conselleria Economía Sostenible,Conselleria Economía Sostenible,,Articulator,15,3.2,9.6,VLN072,14,16,30,44,46,90,4,0.458974,0.515363,889.7777,1,0.335968,85,0.730129
CEEI Valencia,CEEI Valencia,,Enabler,14,3.357143,9.4,VLN052,17,24,41,63,81,144,3,0.47861,0.546555,2035.104313,0,0.162879,86,0.779823
Valencia Startups,Valencia Startups,,Community,13,3.384615,8.8,VLN214,6,7,13,17,27,44,4,0.417249,0.461825,94.250251,4,0.551282,43,0.416457
Las Naves,Las Naves,,Articulator,11,3.545455,7.8,VLN162,15,19,34,63,66,129,3,0.443069,0.511173,1889.356724,4,0.140394,57,0.568546
ADEIT,ADEIT,,Enabler,9,3.666667,6.6,VLN004,8,1,9,30,3,33,4,0.389978,0.424581,6.158616,3,0.785714,22,0.357374
Big Ban Angels,Big Ban Angels,,Enabler,10,3.3,6.6,VLN033,7,14,21,23,56,79,4,0.404977,0.463222,1129.54311,6,0.152047,26,0.355666
CPI,CPI,,Enabler,8,4.125,6.6,VLN075,6,11,17,25,34,59,3,0.408676,0.453445,80.318635,6,0.419048,44,0.45569
CSIC Valencia,CSIC Valencia,,Knowledge Generator,9,3.666667,6.6,VLN076,9,0,9,33,0,33,4,0.396896,0.43622,42.715405,7,0.5,18,0.281539
EIT Climate-KIC,EIT Climate-KIC,,Linker,8,3.875,6.2,VLN089,7,1,8,27,4,31,4,0.386609,0.422253,10.060028,5,0.619048,13,0.29209
Fundación Valencia Port,Fundación Valencia Port,,Enabler,9,3.222222,5.8,VLN120,11,11,22,34,43,77,3,0.437653,0.484171,311.335671,5,0.411765,56,0.553793
PCUV,PCUV,,Enabler,7,4,5.6,VLN173,7,24,31,25,85,110,3,0.4475,0.507449,445.573355,3,0.306667,92,0.695829
Dirección General de Emprendimiento - GVA,Dirección General de Emprendimiento - GVA,,Articulator,8,3.5,5.6,VLN082,8,22,30,26,79,105,3,0.434466,0.5,671.108456,1,0.216524,76,0.64396
AVAESEN,AVAESEN,,Linker,8,3.375,5.4,VLN022,8,12,20,26,40,66,3,0.433414,0.480447,484.388162,4,0.323529,44,0.503395
Cámara Valencia,Cámara Valencia,,Linker,8,3.375,5.4,VLN044,6,2,8,20,7,27,4,0.385776,0.423184,29.637948,4,0.464286,13,0.2706
ITI,ITI,,Knowledge Generator,9,3,5.4,VLN150,14,23,37,42,86,128,4,0.42823,0.497672,1078.188011,7,0.166667,63,0.709087
UA,UA,,Knowledge Generator,6,4,4.8,VLN200,6,0,6,24,0,24,4,0.369835,0.404562,122.223975,7,0.3,3,0.130829
AJEV,AJEV,,Linker,8,3,4.8,VLN015,8,10,18,34,42,76,3,0.421176,0.469274,1275.174178,2,0.147059,20,0.328785
Go Hub,Go Hub,,Enabler,6,3.666667,4.4,VLN125,6,1,7,18,5,23,4,0.396896,0.433426,37.808981,5,0.380952,8,0.215419
Cámaras CV,Cámaras CV,,Linker,6,3.5,4.2,VLN045,7,0,7,22,0,22,4,0.38412,0.418063,30.648861,1,0.761905,16,0.251599
Startup Valencia,Startup Valencia,,Linker,6,3.5,4.2,VLN193,8,11,19,30,39,69,4,0.42217,0.471601,474.959578,5,0.220588,30,0.449057
Innsomnia,Innsomnia,,Enabler,6,3.166667,3.8,VLN146,8,20,28,24,64,88,4,0.411494,0.479516,1276.227502,5,0.08,24,0.377359
Climate KIC Accelerator,Climate KIC Accelerator,,Enabler,4,4.25,3.4,VLN063,3,1,4,12,5,17,4,0.358,0.391527,9.326382,5,0.666667,4,0.115541
Start UPV,Start UPV,,Enabler,4,4.25,3.4,VLN192,4,0,4,17,0,17,4,0.352362,0.38594,11.342954,5,0.166667,1,0.099023
Demium,Demium,,Enabler,5,3.4,3.4,VLN079,3,2,5,11,6,17,4,0.355865,0.392458,18.614279,5,0.4,4,0.116309
Valencia Plaza,Valencia Plaza,,Promoter,5,3.4,3.4,VLN213,3,2,5,10,7,17,4,0.347573,0.384544,75.89511,4,0.1,1,0.08677
FLORIDA Universitaria,FLORIDA Universitaria,,Enabler,4,4,3.2,VLN113,2,2,4,6,10,16,4,0.356574,0.388734,11.264073,0,0.333333,2,0.106864
Socialnest Foundation,Socialnest Foundation,,Enabler,5,3.2,3.2,VLN191,4,1,5,12,4,16,4,0.362348,0.397579,20.122174,5,0.3,3,0.122906
Universidad Jaime I,Universidad Jaime I,,Knowledge Generator,4,4,3.2,VLN205,4,0,4,16,0,16,4,0.355865,0.385009,2.943791,7,0.333333,2,0.117311
VIT Emprende,VIT Emprende,,Community,5,3.2,3.2,VLN219,3,3,6,11,6,17,4,0.355865,0.389199,35.978972,5,0.2,2,0.114108
