,Madrid,Madrid SurveyGizmo,Madrid Typeform,CDMX,Santiago,CABA,Sao Paulo,Montevideo,Valencia,Oaxaca,GDL,Pachuca,AGS
Muestra,38,16,24,51,30,36,34,59,37,36,32,21,19
Nodes,239,120,156,299,195,228,216,198,180,149,187,125,96
Edges,453,166,205,547,385,500,364,767,629,326,474,254,233
Promedio colabs por Ego,12.13,10.13,8.63,12.33,13.04,13.48,10.38,13.4,15.05,6.39,10.81,9.52,8.21
Average Degree,3.8,2.76,2.62,3.6,3.9,4.3,3.3,7.6,6.92,4.36,5.06,4.06,4.84
Network Diameter,8,3,5,7,6,6,8,6,5,5,6,6,5
Graph Density,0.015,0.012,0.008,0.012,0.019,0.019,0.015,0.036,0.037,0.028,0.025,0.032,0.047
Modularity,0.606,0.64,0.655,0.623,0.535,0.527,0.682,0.356,0.37,0.533,0.511,0.525,0.523
Avg Clustering Coefficient (total undirected),0.269,0.143,0.112,0.18,0.315,0.306,0.299,0.367,0.379,0.245,0.317,0.215,0.347
1/2 * avgcolabs * (clust + (log(mod^2)*-1)),4.27,2.69,2.07,3.64,5.60,5.81,3.28,8.47,9.35,2.53,4.87,3.69,3.74
