Country,1 Foundational Institutions,2.01 I-Human Capital,2.02 I-Funding,2.03 I-Infrastructure,2.04 I-Demand,2.05 I-Culture & Incentives,3.01 E-Human Capital,3.02 E-Funding,3.03 E-Infrastructure,3.04 E-Demand,3.05 E-Culture & Incentives,4 Comparative Advantage,5 Social Impact,6 Economic Impact,GNI per capita,SEDA Score
Albania,3.4731999999999994,2.20598167079771,1.3058451063983676,2.5989262195470078,2.929777777777778,1.566,3.3003714063714065,2.041129634380594,3.4788,2.3689999999999998,3.1039565366551614,2.074466666666667,3.965401107847372,2.7385187582733845,1.2367267413541159,3.1719999999999997
Algeria,3.0096,2.1955009786714923,1.6747097596167544,2.3838033880610405,2.5733333333333333,2.4276,3.1827319347319345,1.7388793566824405,3.473333333333333,3.2058,3.3510667701831625,2.3991333333333333,3.715319117315254,2.32402433877513,1.1748660496833903,2.724
Argentina,3.1684,2.051076363636364,1.6820021283877145,2.740698426680369,2.729777777777778,1.793,3.076940170940171,1.7254753382509602,3.679066666666666,3.1718,2.8912819498617854,2.5830666666666664,3.9842460955263177,2.4050711741162827,1.5270336093521677,3.2319999999999998
Armenia,3.6344000000000003,2.238828236122818,1.3996691541753756,2.837184206448245,2.7182222222222223,1.342,3.314949494949495,2.1677266344738517,3.614266666666667,2.6556,3.5124723409592087,2.5930666666666666,3.820191074312455,3.0706926129529264,1.2094495859717487,3.012
Australia,4.370799999999999,2.878032498499713,2.0647503219853798,3.2949832228176206,3.2688888888888887,2.8508,3.7526029526029525,2.823880313882709,4.229333333333334,3.437,3.0470259904389216,3.316533333333333,4.440543394370819,3.2754445322226218,3.6561130053580126,4.263999999999999
Austria,4.2012,3.5580833681581963,2.727585154418374,3.547228698198308,3.3546666666666667,2.51,3.0150691530691525,2.200412026091694,4.202133333333333,3.165,2.991240381964817,3.347533333333333,4.23388156880511,3.1942033860424064,3.4802727715538238,4.332
Azerbaijan,3.6491999999999996,2.44512828169293,1.3525120067065857,2.9799642761016907,3.2279999999999998,1.8505999999999998,2.7563061383061385,2.2989525433393276,3.510666666666667,3.1952,3.4250061905585305,3.3651999999999997,3.993412792301906,2.637340752882192,1.1997077447637603,2.92
Bangladesh,2.8376,2.1188132685844865,1.3815102571635471,2.3201775918177594,2.6,1.2454,2.8234001554001553,1.6359750275558358,3.208933333333333,3.0766,3.428213752613093,2.5111333333333334,2.9986635956123453,3.4873407579455247,1.0759863614223089,2.3280000000000003
Belgium,4.1252,2.842008630232386,2.6808194864300616,3.556567284086553,3.463111111111111,1.9002,2.420087024087024,2.404738187745237,4.242266666666667,3.3814,3.060683708290922,3.3650666666666664,4.241616479355962,2.982103612435322,3.2878714076960547,4.208
Bosnia and Herzegovina,3.3336000000000006,2.3233043942463802,1.0939937633454215,2.6260528436386177,2.4551111111111115,1.6523999999999999,2.8794613830613836,5.7785438088639625,3.5685333333333333,2.2264,3.0765172062519093,1.9049333333333331,3.2133861634240546,2.366261481659263,1.2810521188504627,2.9
Brazil,3.1779999999999995,1.8267063491841213,1.6622439327566314,2.707139543419217,2.8791111111111114,2.7542,2.975760683760684,1.991286521891028,3.694933333333333,3.4638,3.3760301579448533,2.7410666666666668,3.9967378448088855,2.389176772512209,1.4262055528494886,2.972
