Country,Region,Development Stage,1.01 Ease of doing business (WB),1.02 Starting a business (WB),1.03 Paying taxes (WB),1.04 Resolving Insolvency (WB),1.05 Enforcing contracts (WB),1.06 Property Rights (IEF),1.07 Government Integrity (IEF),1.08 Labor Freedom (IEF),1.09 Trade freedom (IEF),1.10 Corruption Perceptions Index (TI),2.01a Percentage of adults with a doctoral or equivalent level of education (OECD),2.01b Skillset of graduates (GCI 4.0),2.01c Ease of finding skilled employees (GCI 4.0),2.01d Researchers/Professionals engaged in R&D per million population (GII),"2.01e STEM Graduates per capita (OECD) - Natural sciences, mathematics and statistics",2.02a R&D expenditure as a % GDP (UNESCO),2.02b R&D expenditure in '000 current PPP$ (UNESCO),2.02c Public R&D Expenditure as % of GDP (UNESCO),2.02d Business R&D Expenditure as % GDP (UNESCO),2.03a Internet Bandwidth (GCI),2.03b Production Process Sophistication (GCI),2.03c Availability of latest technologies (GCI),2.03d ICT access (GII),2.04a Government procurement of advanced technology (GCI),2.04b University-industry research collaborations (GII),"2.04c Trade, Competition & Market scale (GII)",2.05a Research institutions prominence (GCI 4.0),2.05b Graduates in science & engineering (%) (GII),3.01a Entrepreneurship perceived capabilities (GEM),3.01b % school grads in tertiary education (GII),3.02a VC investment (WEF),3.02b Financing of SME's (GCI 4.0),3.02c Venture Capital Availability (GCI 4.0),3.02d Ease of Credit (GII),3.02e VC deals (GII),3.02f Venture Capital Deal Volume (WEF),3.03a Logistics performance (WB),3.03b Electricity (GCI 4.0),3.03c ICT Adoption (GCI 4.0),3.04a Buyer sophistication (GCI 4.0),3.04b Domestic Market Scale (GII),3.05a Entrepreneurial intentions (GEM),3.05b Fear of failure (GEM),3.05c Entrepreneurship as a Good Career choice (GEM),3.05d High Status to Successful Entrepreneurs (GEM),3.05e Business Freedom (IEF),3.05f Attitudes towards Entrepreneurial Risk (GCI 4.0),4.01 State of cluster development (GCI 4.0),4.02 Country capacity to attract and retain talent (WEF),5.01 Social Progress Index (SPI),5.02 Inclusive Development Index (IDI),5.03 Population below international poverty line (SDG 1 - No poverty),5.04 Prevalence of undernourishment (SDG 2 - Zero Hunger),"5.05 Carbon dioxide emissions per unit of GDP (SDG 9 - Industry, Innovation and Infrastructure)",5.06 Proportion of urban population living in slums (SDG 11 - Sustainable Cities and Communities),5.07 Annual population-weighted average mean concentration of fine suspended particles of less than 2.5 microns in diameter (SDG 11 - Sustainable Cities and Communities),5.08 Domestic material consumption per capita (SDG 12 - Responsible Consumption and Production),6.01 GDP per capita (IMF),6.02 Annual growth rate of real GDP per capita (SDG 8 - Decent Jobs and Economic Growth),6.03 Annual growth rate of GDP (WB),6.04 Unemployment rate of population 15 years of age and older (SDG 8 - Decent Jobs and Economic Growth),6.05 FDI inward flow as % of GDP (UNCTAD),GNI per capita (WB),SEDA Score (BCG),Power Distance Index (PDI),Individualism versus Collectivism (IDV),Masculinity versus Feminity (MAS),Uncertainty Avoidance Index (UAI),Long Term Orientation versus Short Term Normative Orientation (LTO),Indulgence versus Restraint (IVR)
Albania,Europe and Central Asia,Economies in transition,67.7,91.8,65.2,67.7,53.5,57.1,38.8,52.1,88.4,36,NA,54.91,48.19,1.7,NA,NA,NA,NA,NA,56.96,3.98,4.36,53.1,3.9,38.8,57.6,0,28.3,NA,44.7,5.3,47.63,33.57,70,NA,64.9,2.62,92.53,52.88,34.55,33.9,NA,NA,NA,NA,65.7,39.01,30.39,2.4,71.57,4.08,1.1,5.5,0.12,NA,17.8698273,10.13229,5288.86,3.71,2.2,13.8,8.46,5240,54.3,NA,NA,NA,NA,61,15
Algeria,Middle East and North Africa,Developing economies,48.6,78,53.9,49.2,54.8,37.9,28.3,50.5,66.2,35,NA,44.8,52.03,9.8,NA,0.54243,3427439.26,0.27,0.04,40.01,3.29,3.78,53.1,3.01,26.9,57.6,9.78,61.6,NA,37.4,13.1,46.95,41.41,10,NA,2342.8,2.56,93.78,52.72,46.39,63.9,NA,NA,NA,NA,63,43.49,48.29,2.3,67.06,4.22,0.5,4.7,0.23,NA,35.1679573,9.00822,4237.5,-0.35,0.8,10.2,0.84,3970,43.1,NA,NA,NA,NA,26,32
Argentina,Latin America and the Caribbean,Developing economies,59,80.4,49.3,40,57.5,50.5,49.7,46.5,69.2,40,NA,53.03,53.1,14.8,14.72914123,0.54152,4971322.2,0.26,0.14,41.13,3.82,4.19,73.1,2.85,37.6,61.3,19.75,19.9,48.79,70.3,4.4,27.06,22.14,55,2,2421.9,2.93,94.69,57.99,41.39,67.2,14.83,31.92,59.39,49.96,60.2,50.68,40.82,3.3,76.86,4.13,0.4,3.8,0.24,16.7,11.8304634,11.20757,11626.92,1.88,-2.2,8.4,2.36,11200,55.8,49,46,56,86,20,62
Armenia,Europe and Central Asia,Economies in transition,74.5,96.1,81.5,44.6,69.7,60.7,43.4,72.5,80.6,35,NA,44.54,50.47,NA,NA,0.18913,57642.14,0.16,NA,59.86,3.82,4.53,76.7,3.2,36.3,55.9,1.2,15.9,70,41,23.2,51.75,38.52,70,NA,253,2.51,96.3,62.02,51.58,31.2,32.2,48.22,87.24,73.41,81,58.67,46.32,3,71.14,3.66,1.4,4.3,0.21,14.4,30.4817638,11.09318,4149.3,7.28,7.6,17.7,2.02,4680,50.3,NA,NA,NA,NA,61,NA
Australia,East Asia and Pacific,Developed economies,81.2,96.6,85.7,78.9,79,82.8,89.3,84,88.2,77,1.17,63.79,59.57,55,18.29977876,1.87372,22888862.12,0.19,0.99,88.3,5.16,5.68,80.4,3.29,53.1,78.9,68.44,24.1,56.04,90,74.2,58.09,42.32,90,21.6,99210.9,3.77,99.33,73.62,51.05,70.8,13.02,47.37,56.39,74,87.8,56.92,54.16,4.7,88.02,5.36,0.7,2.5,0.35,NA,7.18623352,37.92564,56351.58,1.58,1.9,5.6,4.2,54910,81.6,38,90,61,51,21,71
Austria,Europe and Central Asia,Developed economies,78.7,83.2,83.5,77.4,75.5,87.3,84,68.3,86.4,76,1.12,70.83,57.56,65.9,30.31833222,3.17177,15576419.92,0.23,2.22,149.99,6.07,5.92,85.2,3.34,65.2,72.4,16.1,59.4,48.33,68.1,17.8,62.41,45.17,55,6.9,7125.5,3.99,99.78,65.63,47.85,60.4,11.76,36.73,50.15,75.3,73,47.52,65.71,4.1,86.4,5.35,0.7,2.5,0.17,NA,12.4257212,15.77864,51509.03,2.28,1.6,5.5,1.67,51300,83.3,11,55,79,70,60,63
Azerbaijan,Europe and Central Asia,Economies in transition,76.7,96.2,84,63.5,70.3,67.1,38.7,66.2,74.6,25,NA,57.03,63.17,NA,NA,0.18484,331026.12,0.16,0.01,34.26,4.61,5.21,67,4.27,54.2,58.4,1.73,40.8,NA,20.9,0.8,61,51.95,80,NA,42.9,2.45,96.98,55.07,59.06,50.7,NA,NA,NA,NA,80.8,63.17,58.26,4.6,NA,4.69,0,2.5,0.21,NA,18.2009506,9.17306,4569.2,-0.93,2.2,5,3.09,4480,48,NA,NA,NA,NA,61,22
Bangladesh,South Asia,Least developed countries,45,82.4,56.1,28.1,22.2,41,26.6,68.4,63.6,26,NA,39.92,44.55,NA,NA,NA,NA,NA,NA,9.15,3.68,4.09,35.7,3.04,26.5,59.5,5.97,6.3,NA,13.4,0.4,44.2,25.38,25,0.8,72,2.6,86.53,39.14,38.53,65.3,NA,NA,NA,NA,52.3,46.28,43.89,2.9,54.11,3.98,14.8,15.2,0.14,55.1,58.3345604,2.64604,1744.51,6.16,8.2,4.4,1.34,1940,33.2,80,20,55,60,47,20
Belgium,Europe and Central Asia,Developed economies,75,92.3,78.4,84.1,64.3,84.5,80.2,61.1,86.4,75,0.84,67.47,62.08,59.4,17.555425,2.82119,16230090.76,0.27,1.99,189.25,6.03,6.19,81.5,3.57,68.7,73.2,22.61,22.4,NA,59.8,33.6,58.35,46.82,65,19.7,16279.4,4.05,99.9,67.02,56.97,62.1,NA,NA,NA,NA,75.2,46.11,64.92,4.2,86.77,5.14,0,2.5,0.2,NA,12.8761425,16.02991,46724.35,1.06,1.4,7.1,0.92,47350,80.2,65,75,54,94,82,57
Bosnia and Herzegovina,Europe and Central Asia,Economies in transition,65.4,60,60.4,68.2,57.8,44.4,41.8,67.4,80,38,NA,34.98,38.18,5.5,NA,0.1988,94812.32,0.03,0.07,98.45,3.22,4.47,65.8,2.61,27.2,55.1,1.12,31.5,NA,NA,1083.4,40.92,22.34,65,NA,18509.7,2.76,97.03,51.61,24.92,36.4,NA,NA,NA,NA,45.7,41.07,33.58,1.7,NA,NA,0.1,2.5,0.58,NA,27.251688,11.41819,5674.41,3.32,2.6,20.5,2.36,6150,47.5,NA,NA,NA,NA,70,44
Brazil,Latin America and the Caribbean,Developing economies,59.1,81.3,34.4,50.4,64.1,57.3,45.6,49.5,67.8,35,0.2,36.67,39.74,10.5,16.85954231,1.26326,41120996.29,NA,NA,66.18,3.93,4.52,61.9,2.7,42.5,70.1,63.41,24.3,61.99,39.6,20.5,41.77,34.87,50,1.8,41425.7,3.02,93.56,58.06,43.09,80.1,30.17,35.57,75.25,72.25,60.5,51.13,48.72,3.3,72.87,3.93,4.8,2.5,0.15,22.3,11.4902039,12.8048,8967.66,0.2,1.1,12.8,3.27,9130,49.3,69,38,49,76,44,59
Bulgaria,Europe and Central Asia,Developed economies,72,85.4,72.3,57.8,67,64.2,44.2,68.1,86.4,42,NA,47.06,43.71,25.7,NA,0.76803,1184727.53,0.17,0.55,175.87,3.73,4.73,70.3,3.35,40.2,63.7,4.54,29.7,36.88,56.1,59.7,51.82,38.95,65,NA,3171.9,3,97.29,73.39,46.53,49.8,3.91,30.98,62.57,69.31,62.6,51.06,52.8,2.4,76.17,4.41,1.5,3,0.33,NA,18.8164234,19.58999,9267.38,4.5,3.4,6.2,3.18,9410,60.1,70,30,40,85,69,16
Burundi,Sub-Saharan Africa,Least developed countries,46.8,92.9,60.9,30.6,43,24.9,22.3,67.4,68.2,17,NA,52.63,60.46,NA,NA,0.21028,17455.33,0.11,0.02,6.08,2.76,3.29,24,2.92,33.8,28.8,0,20.1,NA,4.3,NA,40.43,33.69,10,NA,NA,2.22,43.81,14.84,25.89,0,NA,NA,NA,NA,55.1,43.19,40.68,NA,39.09,3.27,71.8,NA,NA,57.9,35.6106377,1.75059,306.966,-3.13,1.8,1.6,0.03,280,24.3,NA,NA,NA,NA,NA,NA
Cambodia,East Asia and Pacific,Least developed countries,53.8,52.4,61.3,48.5,31.7,43.1,14.8,62.5,65.4,20,NA,44.16,41.7,0.2,NA,NA,NA,NA,NA,23.57,3.07,4.33,41.6,3.16,37.4,46.7,0,17.9,NA,9.8,20.4,44.37,36.46,80,NA,372.6,2.66,75.61,55.39,43.61,40.9,NA,NA,NA,NA,31.2,46.75,48.1,3.7,50.36,NA,NA,18.5,0.17,55.1,23.9806137,5.28685,1508.82,5.38,7.1,0.2,12.72,1480,35,NA,NA,NA,NA,NA,NA
Cameroon,Sub-Saharan Africa,Developing economies,46.1,86.3,36.3,36.6,39.9,45.3,20.8,50.1,59.6,25,NA,51.38,56.96,NA,NA,NA,NA,NA,NA,2.55,3.07,3.82,34.6,3.16,38.4,45.1,1.91,34.4,NA,14.6,5.2,36.4,27.72,60,NA,146.7,2.43,72.3,24.8,33.09,44.1,NA,NA,NA,NA,46,47.68,39.99,2.6,48.04,3.32,23.8,7.3,0.08,37.8,65.2575836,4.16955,1547.99,0.9,4,3.5,1.83,1500,29.4,NA,NA,NA,NA,NA,NA
Canada,North America,Developed economies,79.6,98.2,88.1,81,57.1,87.7,90.3,72,87,81,NA,66.59,64.51,51.7,21.73521511,1.56625,27922857.84,0.11,0.8,141.88,5.57,6.13,80,3.32,63,78.6,73.14,34.3,56.8,52.8,71.9,60.16,50.07,85,100,116857.8,3.81,96.47,70.29,59.45,74.2,11.86,47.17,69.21,79.9,81.7,60.57,63.8,5.1,88.81,5.06,0.5,2.5,0.35,NA,6.4776125,28.79258,46260.71,2.11,1.7,6.3,2.32,46370,79.2,39,80,52,48,36,68
Chile,Latin America and the Caribbean,Developing economies,72.6,91.4,75.3,60.1,64.7,69.9,73.4,64.7,89,67,NA,59.73,64.41,5.9,19.90402718,0.35518,1590813.89,0.05,0.12,175.56,4.39,5.63,72.8,2.82,43.8,73.3,15.68,32,75.54,72.2,43.8,52.34,46.11,55,3,10963.6,3.28,100,63.13,49.35,60.8,57.57,58.07,74.36,74.58,75,54,45.56,4.6,80.02,4.44,0.7,3.3,0.22,9,21.0304794,41.33518,16078.71,0.67,1.1,7,2.41,15010,62.6,63,23,28,86,31,68
