Id,Label,timeset,d1,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
El Cronista,El Cronista,,1.2,Promotor,2,0,2,6,0,6,4,0.352201,0.37872,1.910913,4,0.059762,0
Endeavor Argentina,Endeavor Argentina,,7.6,Habilitador,16,6,22,48,23,71,3,0.497778,0.563988,484.279725,3,0.350454,0.089742
UNSAM,UNSAM,,1.8,Generador de conocimiento,2,1,3,6,5,11,4,0.369637,0.398065,10.822184,1,0.055075,0.00762
IncUBAgro,IncUBAgro,,1.6,Habilitador,2,7,9,9,27,36,4,0.392982,0.436756,160.377233,1,0.009692,0.086704
Namastrade,Namastrade,,0.2,Habilitador,0,2,2,0,2,2,5,0.284987,0.305506,0,6,0,0.008552
Apertura,Apertura,,1.6,Promotor,3,0,3,8,0,8,5,0.343558,0.375298,11.190597,4,0.05517,0
Kaszek Ventures,Kaszek Ventures,,1.2,Habilitador,2,0,2,6,0,6,4,0.337349,0.361607,0,3,0.027145,0
GridX,GridX,,4.6,Habilitador,3,10,13,13,42,55,3,0.453441,0.495536,119.215224,0,0.078901,0.212656
Venturebees,Venturebees,,0.6,Habilitador,4,6,10,11,19,30,3,0.411765,0.455357,208.963449,1,0.005525,0.140472
Universidad CAECE,Universidad CAECE,,1.2,Habilitador,2,0,2,6,0,6,4,0.334328,0.359375,8.455588,5,0.026018,0
FIUBA,FIUBA,,2,Generador de conocimiento,2,0,2,10,0,10,4,0.323699,0.345982,0,1,0.020128,0
AGENCIA,AGENCIA,,1.2,Articulador,2,0,2,6,0,6,4,0.311111,0.33631,3.340584,0,0.026423,0
Proesus,Proesus,,1.2,Habilitador,2,0,2,6,0,6,4,0.358974,0.383185,0,2,0.061091,0
Fundación PROSAMA,Fundación PROSAMA,,0.6,Generador de conocimiento,0,2,2,0,8,8,4,0.331361,0.351935,1.788462,5,0,0.041861
CAME,CAME,,2.6,Vinculador,4,0,4,13,0,13,4,0.408759,0.440476,10.55904,4,0.119343,0
