Id,Label,timeset,d1,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,eigencentrality
Consejería de Educación e Investigación,Consejería de Educación e Investigación,,4.4,Articulador,13,17,30,38,59,97,6,0.353175,0.468914,1549.205397,0,0.044974,0.791166
WB,WB,,1,Habilitador,2,0,2,5,0,5,0,0,0,0,2,0,0.068237
FabLab Madrid CEU,FabLab Madrid CEU,,0.6,Habilitador,2,4,6,5,19,24,7,0.294702,0.356581,82.666667,5,0.1,0.016568
INIA,INIA,,0.6,Generador de Conocimiento,0,6,6,0,25,25,5,0.311419,0.374074,0,2,0.166667,0
UPC ITT,UPC ITT,,0.6,Generador de Conocimiento,2,5,7,8,20,28,6,0.272171,0.329963,138.8,2,0.02381,0.019919
"Ágora News",Ágora News,,1,Promotor,2,0,2,5,0,5,0,0,0,0,1,0,0.054354
USPCEU,USPCEU,,3,Generador de Conocimiento,2,3,5,8,3,11,7,0.293729,0.350963,100.341617,5,0.166667,0.030123
Madri+d,Madri+d,,8.2,Articulador,14,12,26,49,22,71,5,0.338403,0.426779,1536.993889,0,0.061667,0.86642
Deloitte,Deloitte,,0.2,Habilitador,0,2,2,0,2,2,7,0.275229,0.314365,0,1,0.5,0
Compluemprende,Compluemprende,,3.2,Habilitador,4,3,7,18,15,33,6,0.260234,0.300562,103.991725,5,0.142857,0.335366
Emprendedores,Emprendedores,,1,Promotor,2,0,2,5,0,5,0,0,0,0,1,0,0.030207
AEI,AEI,,1.8,Articulador,2,0,2,9,0,9,0,0,0,0,2,0.5,0.137193
UAH,UAH,,2,Generador de Conocimiento,2,2,4,7,10,17,6,0.264095,0.307678,34.555037,0,0.083333,0.030034
Fundación COTEC,Fundación COTEC,,2.6,Habilitador,5,1,6,13,1,14,7,0.185031,0.202488,65.757937,1,0.066667,0.318812
Demium,Demium,,1.4,Habilitador,2,1,3,5,2,7,8,0.181263,0.205792,39.562121,5,0.166667,0.080037
Centro Empresas UPM,Centro Empresas UPM,,1.8,Habilitador,3,0,3,9,0,9,0,0,0,0,0,0.333333,0.444068
ESA BIC Comunidad de Madrid,ESA BIC Comunidad de Madrid,,2.8,Habilitador,3,0,3,11,0,11,0,0,0,0,3,0.666667,0.552925
EASME,EASME,,1,Articulador,2,0,2,6,0,6,0,0,0,0,0,0.5,0.451929
CSIC,CSIC,,3.6,Articulador,5,1,6,16,2,18,7,0.224181,0.252274,208.072619,0,0.133333,0.518128
UC3M,UC3M,,3.6,Generador de Conocimiento,4,5,9,12,25,37,7,0.252841,0.306421,152.86206,3,0.089286,0.493001
