Id,Label,timeset,d1,d0,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
Apex-Brasil,Apex-Brasil,,1.8,Habilitador,3,0,3,0,0,0,0,5,0.333333,0.306312,9,0,9
The Next Company,The Next Company,,1.2,Habilitador,2,0,2,0,0,0,0,0,1,0.518824,6,0,6
Amani Institute,Amani Institute,,0.6,Habilitador,1,2,3,1,1,1,72.75,4,0,0.148184,3,7,10
Astella Investimentos,Astella Investimentos,,2.2,Habilitador,2,1,3,8,0.189055,0.220426,39.019048,0,0.5,0.518824,8,5,13
Kaszek Ventures,Kaszek Ventures,,1.2,Habilitador,1,1,2,7,0.227545,0.271209,0,0,1,0.2185,3,3,6
WeWork Labs,WeWork Labs,,1.6,Habilitador,5,13,18,6,0.286792,0.407237,667.069048,0,0.0625,0.715138,21,41,62
InvestSP,InvestSP,,2.4,Articulador,2,7,9,6,0.327586,0.40636,686.919048,1,0.142857,0.218487,9,22,31
YBI,YBI,,1,Vinculador,0,2,2,2,0.75,0.833333,0,4,0.5,0,0,2,2
Samsung,Samsung,,2.4,Habilitador,2,1,3,7,0.224189,0.273684,43.752381,0,0.333333,0.389664,7,5,12
UNIFESP,UNIFESP,,1.2,Generador de Conocimiento,1,1,2,2,0.545455,0.583333,11.95,5,0,0.062298,3,3,6
Oracle for Startups,Oracle for Startups,,0.6,Habilitador,2,2,4,8,0.189526,0.227005,40,0,0,0.212587,7,8,15
Visa,Visa,,2.2,Habilitador,1,2,3,8,0.210526,0.262907,0,0,0.5,0.150559,5,2,7
UFSCAR,UFSCAR,,0.6,Generador de Conocimiento,2,0,2,0,0,0,0,3,0.5,0.022416,4,0,4
Unesp,Unesp,,1.6,Generador de Conocimiento,2,1,3,8,0.214689,0.25661,210.45,5,0,0.081608,6,2,8
Bid Lab,Bid Lab,,2.8,Habilitador,3,0,3,0,0,0,0,4,0.166667,0.025533,11,0,11
The Brazilian Report,The Brazilian Report,,0.6,Promotor,0,2,2,1,1,1,0,3,0,0,0,6,6
100 Open Startups,100 Open Startups,,1.6,Vinculador,2,0,2,0,0,0,0,1,1,0.170645,8,0,8
Parabolt,Parabolt,,0.6,Articulador,1,5,6,7,0.254072,0.319933,77,1,0,0.009836,5,17,22
Google for Startups,Google for Startups,,2.2,Habilitador,2,0,2,0,0,0,0,5,0,0.213855,6,0,6
IndicatorCapital,IndicatorCapital,,0.6,Habilitador,3,7,10,8,0.205405,0.291917,202.9,0,0,0.079888,12,23,35
